file,file-chromo,file inter chromo,chromo - file
out768,3,0,1
out770,3,0,1
out771,3,0,1
out773,3,0,1
out774,3,0,1
out776,3,0,1
out777,3,0,1
out779,3,0,1
out781,3,0,1
out785,3,0,1
out787,3,0,1
out790,3,0,1
out792,3,0,1
out793,3,0,1
out794,3,0,1
out795,3,0,1
out797,3,0,1
out801,3,0,1
out804,3,0,1
out807,3,0,1
out809,3,0,1
out810,3,0,1
out812,3,0,1
out814,3,0,1
out815,3,0,1
out817,3,0,1
out819,3,0,1
out821,3,0,1
out824,3,0,1
out826,3,0,1
out828,3,0,1
out830,3,0,1
out833,3,0,1
out835,3,0,1
out836,3,0,1
out838,3,0,1
out839,3,0,1
out841,3,0,1
out843,3,0,1
out845,3,0,1
out847,3,0,1
out848,3,0,1
out850,3,0,1
out852,3,0,1
out853,3,0,1
out854,3,0,1
out856,3,0,1
out858,3,0,1
out860,3,0,1
out861,3,0,1
out862,3,0,1
out864,3,0,1
out867,3,0,1
out869,3,0,1
out871,3,0,1
out873,3,0,1
out874,3,0,1
out877,3,0,1
out878,3,0,1
out880,3,0,1
out883,3,0,1
out884,3,0,1
out886,3,0,1
out887,3,0,1
out890,3,0,1
out892,3,0,1
out894,3,0,1
out899,3,0,1
out901,3,0,1
out902,3,0,1
out904,3,0,1
out905,3,0,1
out908,3,0,1
out909,3,0,1
out911,3,0,1
out912,3,0,1
out914,3,0,1
out915,3,0,1
out917,3,0,1
out919,3,0,1
out920,3,0,1
out922,3,0,1
out924,3,0,1
out925,3,0,1
out927,3,0,1
out929,3,0,1
out930,3,0,1
out931,3,0,1
out933,3,0,1
out934,3,0,1
out936,3,0,1
out938,3,0,1
out940,3,0,1
out942,3,0,1
out944,3,0,1
out946,3,0,1
out947,3,0,1
out949,3,0,1
out950,3,0,1
out952,3,0,1
out953,3,0,1
out955,3,0,1
out956,3,0,1
out958,3,0,1
out960,3,0,1
out961,3,0,1
out963,3,0,1
out964,3,0,1
out965,3,0,1
out966,3,0,1
out968,3,0,1
out970,3,0,1
out972,3,0,1
out973,3,0,1
out975,3,0,1
out976,3,0,1
out979,3,0,1
out980,3,0,1
out982,3,0,1
out984,3,0,1
out985,3,0,1
out987,3,0,1
out989,3,0,1
out991,3,0,1
out992,3,0,1
out995,3,0,1
out996,3,0,1
out997,3,0,1
out998,3,0,1
out1000,3,0,1
out1001,3,0,1
out1003,3,0,1
out1005,3,0,1
out1008,3,0,1
out1011,3,0,1
out1012,3,0,1
out1014,3,0,1
out1017,3,0,1
out1019,3,0,1
out1020,3,0,1
out1021,3,0,1
out1022,3,0,1
out1025,3,0,1
out1027,3,0,1
out1029,3,0,1
out1030,3,0,1
out1032,3,0,1
out1033,3,0,1
out1035,3,0,1
out1036,3,0,1
out1037,3,0,1
out1039,3,0,1
out1040,3,0,1
out1041,3,0,1
out1043,3,0,1
out1045,3,0,1
out1048,3,0,1
out1050,3,0,1
out1054,3,0,1
out1056,3,0,1
out1057,3,0,1
out1061,3,0,1
out1062,3,0,1
out1064,3,0,1
out1067,3,0,1
