file,file-chromo,file inter chromo,chromo - file
out2992,4,1,19
out3003,4,1,19
out3041,4,1,19
out3229,4,1,19
out3329,4,1,19
out3339,4,1,19
out3370,4,1,19
out3394,4,1,19
out26,5,1,19
out35,5,1,19
out114,5,1,19
out172,5,1,19
out185,5,1,19
out239,5,1,19
out246,5,1,19
out269,5,1,19
out301,5,1,19
out311,5,1,19
out313,5,1,19
out364,5,1,19
out455,5,1,19
out474,5,1,19
out570,5,1,19
out579,5,1,19
out587,5,1,19
out589,5,1,19
out615,5,1,19
out630,5,1,19
out663,5,1,19
out670,5,1,19
out738,5,1,19
out831,5,1,19
out967,5,1,19
out1028,5,1,19
out1076,5,1,19
out1138,5,1,19
out1143,5,1,19
out1228,5,1,19
out1245,5,1,19
out1326,5,1,19
out1421,5,1,19
out1718,5,1,19
out1743,5,1,19
out1936,5,1,19
out1954,5,1,19
out2043,5,1,19
out2195,5,1,19
out2313,5,1,19
out2456,5,1,19
out2879,5,1,19
out3013,5,1,19
out3075,5,1,19
out24,6,1,19
out67,6,1,19
out108,6,1,19
out143,6,1,19
out139,7,1,19
out565,7,1,19
out743,7,1,19
out784,7,1,19
out2326,7,1,19
out2773,7,1,19
out2906,7,1,19
out3171,7,1,19
out3340,7,1,19
out92,8,1,19
out207,8,1,19
out538,8,1,19
out1913,8,1,19
out3238,8,1,19
out42,9,1,19
out844,9,1,19
out1407,9,1,19
out1639,9,1,19
out1921,9,1,19
out580,11,1,19
out549,12,1,19
out1422,12,1,19
out370,13,1,19
out3042,15,1,19
out10,22,1,19
out7,3,0,20
out11,3,0,20
out15,3,0,20
out19,3,0,20
out30,3,0,20
out32,3,0,20
out34,3,0,20
out39,3,0,20
out45,3,0,20
out47,3,0,20
out49,3,0,20
out51,3,0,20
out52,3,0,20
out56,3,0,20
out57,3,0,20
out60,3,0,20
out62,3,0,20
out64,3,0,20
out65,3,0,20
out68,3,0,20
out70,3,0,20
out72,3,0,20
out74,3,0,20
out76,3,0,20
out78,3,0,20
out82,3,0,20
out83,3,0,20
out85,3,0,20
