file,file-chromo,file inter chromo,chromo - file
out44,26,4,16
out3563,2,3,17
out542,3,3,17
out3665,4,3,17
out1678,7,3,17
out1943,8,3,17
out13,9,3,17
out379,9,3,17
out543,16,3,17
out1607,1,2,18
out1720,1,2,18
out2052,1,2,18
out2538,1,2,18
out3039,1,2,18
out3588,1,2,18
out3930,1,2,18
out408,2,2,18
out1066,2,2,18
out1382,2,2,18
out1942,2,2,18
out10,3,2,18
out12,3,2,18
out1071,3,2,18
out1290,3,2,18
out1608,3,2,18
out1721,3,2,18
out2627,3,2,18
out2657,3,2,18
out3250,3,2,18
out3798,3,2,18
out584,4,2,18
out942,4,2,18
out1242,4,2,18
out2712,4,2,18
out2971,4,2,18
out409,5,2,18
out1232,5,2,18
out1348,5,2,18
out1383,5,2,18
out2721,5,2,18
out3778,5,2,18
out3481,6,2,18
out217,7,2,18
out2576,8,2,18
out3040,8,2,18
out722,10,2,18
out9,14,2,18
out11,14,2,18
out117,2,1,19
out119,2,1,19
out121,2,1,19
out174,2,1,19
out186,2,1,19
out210,2,1,19
out216,2,1,19
out231,2,1,19
out303,2,1,19
out315,2,1,19
out335,2,1,19
out350,2,1,19
out355,2,1,19
out372,2,1,19
out423,2,1,19
out435,2,1,19
out484,2,1,19
out513,2,1,19
out528,2,1,19
out536,2,1,19
out558,2,1,19
out583,2,1,19
out627,2,1,19
out638,2,1,19
out698,2,1,19
out709,2,1,19
out737,2,1,19
out746,2,1,19
out776,2,1,19
out838,2,1,19
out860,2,1,19
out862,2,1,19
out878,2,1,19
out906,2,1,19
out931,2,1,19
out941,2,1,19
out945,2,1,19
out989,2,1,19
out1031,2,1,19
out1055,2,1,19
out1070,2,1,19
out1078,2,1,19
out1093,2,1,19
out1145,2,1,19
out1162,2,1,19
out1185,2,1,19
out1200,2,1,19
out1208,2,1,19
out1214,2,1,19
out1227,2,1,19
out1241,2,1,19
out1247,2,1,19
out1251,2,1,19
out1255,2,1,19
out1279,2,1,19
out1289,2,1,19
out1356,2,1,19
out1422,2,1,19
out1427,2,1,19
out1468,2,1,19
out1480,2,1,19
out1488,2,1,19
out1491,2,1,19
out1511,2,1,19
out1513,2,1,19
out1516,2,1,19
out1531,2,1,19
out1540,2,1,19
out1565,2,1,19
out1576,2,1,19
out1595,2,1,19
out1618,2,1,19
out1662,2,1,19
out1677,2,1,19
out1733,2,1,19
out1765,2,1,19
out1821,2,1,19
out1862,2,1,19
out1863,2,1,19
out1867,2,1,19
out1913,2,1,19
out1918,2,1,19
out1920,2,1,19
out1922,2,1,19
