file,file-chromo,file inter chromo,chromo - file
out1265,2,1,0
out3266,2,1,0
out3450,2,1,0
out4037,2,1,0
out3897,3,1,0
out10,4,1,0
out43,4,1,0
out649,4,1,0
out2245,4,1,0
out2971,5,1,0
out3451,5,1,0
out3898,5,1,0
out2319,6,1,0
out3778,6,1,0
out821,9,1,0
out822,14,1,0
out11,15,1,0
out44,29,1,0
out6,3,0,1
out14,3,0,1
out16,3,0,1
out20,3,0,1
out26,3,0,1
out33,3,0,1
out35,3,0,1
out37,3,0,1
out39,3,0,1
out41,3,0,1
out45,3,0,1
out48,3,0,1
out50,3,0,1
out51,3,0,1
out55,3,0,1
out57,3,0,1
out59,3,0,1
out61,3,0,1
out63,3,0,1
out65,3,0,1
out67,3,0,1
out73,3,0,1
out74,3,0,1
out80,3,0,1
out83,3,0,1
out85,3,0,1
out88,3,0,1
out90,3,0,1
out92,3,0,1
out94,3,0,1
out96,3,0,1
out97,3,0,1
out100,3,0,1
out102,3,0,1
out104,3,0,1
out106,3,0,1
out108,3,0,1
out109,3,0,1
out111,3,0,1
out113,3,0,1
out115,3,0,1
out117,3,0,1
out119,3,0,1
out121,3,0,1
out123,3,0,1
out130,3,0,1
out133,3,0,1
out135,3,0,1
out138,3,0,1
out144,3,0,1
out145,3,0,1
out151,3,0,1
out153,3,0,1
out158,3,0,1
out160,3,0,1
out161,3,0,1
out162,3,0,1
out166,3,0,1
out168,3,0,1
out170,3,0,1
out172,3,0,1
out174,3,0,1
out182,3,0,1
out184,3,0,1
out186,3,0,1
out188,3,0,1
out190,3,0,1
out196,3,0,1
out198,3,0,1
out200,3,0,1
out201,3,0,1
out203,3,0,1
out207,3,0,1
out208,3,0,1
out210,3,0,1
out213,3,0,1
out216,3,0,1
out222,3,0,1
out224,3,0,1
out226,3,0,1
out229,3,0,1
out231,3,0,1
out237,3,0,1
out239,3,0,1
out243,3,0,1
out245,3,0,1
out246,3,0,1
out251,3,0,1
out253,3,0,1
out255,3,0,1
out256,3,0,1
out257,3,0,1
out260,3,0,1
out262,3,0,1
out264,3,0,1
out268,3,0,1
out271,3,0,1
out272,3,0,1
out274,3,0,1
out276,3,0,1
out280,3,0,1
out281,3,0,1
out283,3,0,1
out287,3,0,1
out292,3,0,1
out295,3,0,1
out297,3,0,1
out299,3,0,1
out300,3,0,1
out301,3,0,1
out303,3,0,1
out307,3,0,1
out309,3,0,1
out311,3,0,1
out315,3,0,1
out318,3,0,1
out321,3,0,1
out323,3,0,1
out324,3,0,1
out325,3,0,1
out329,3,0,1
out334,3,0,1
out335,3,0,1
out337,3,0,1
out339,3,0,1
out341,3,0,1
out343,3,0,1
out345,3,0,1
out347,3,0,1
out349,3,0,1
out350,3,0,1
out352,3,0,1
out353,3,0,1
out355,3,0,1
out357,3,0,1
out358,3,0,1
out360,3,0,1
out362,3,0,1
out364,3,0,1
out366,3,0,1
out368,3,0,1
out370,3,0,1
out372,3,0,1
out374,3,0,1
out376,3,0,1
out382,3,0,1
out384,3,0,1
out385,3,0,1
out389,3,0,1
out391,3,0,1
out393,3,0,1
out397,3,0,1
out398,3,0,1
out399,3,0,1
out400,3,0,1
out404,3,0,1
out406,3,0,1
out410,3,0,1
out412,3,0,1
out414,3,0,1
out416,3,0,1
out418,3,0,1
out420,3,0,1
out423,3,0,1
out425,3,0,1
out426,3,0,1
out430,3,0,1
out433,3,0,1
out435,3,0,1
out441,3,0,1
out443,3,0,1
out446,3,0,1
out448,3,0,1
out452,3,0,1
out458,3,0,1
out460,3,0,1
out461,3,0,1
out463,3,0,1
out467,3,0,1
out471,3,0,1
out473,3,0,1
out477,3,0,1
out479,3,0,1
out481,3,0,1
out482,3,0,1
out484,3,0,1
out488,3,0,1
out490,3,0,1
out492,3,0,1
out493,3,0,1
out495,3,0,1
out496,3,0,1
out498,3,0,1
out500,3,0,1
out502,3,0,1
out504,3,0,1
out506,3,0,1
out508,3,0,1
out510,3,0,1
out511,3,0,1
out513,3,0,1
out515,3,0,1
out517,3,0,1
out519,3,0,1
out520,3,0,1
out521,3,0,1
out523,3,0,1
out525,3,0,1
out528,3,0,1
out530,3,0,1
out531,3,0,1
out533,3,0,1
out535,3,0,1
out536,3,0,1
out538,3,0,1
out539,3,0,1
out544,3,0,1
out552,3,0,1
out556,3,0,1
out558,3,0,1
out560,3,0,1
out563,3,0,1
out565,3,0,1
out567,3,0,1
out570,3,0,1
out572,3,0,1
out574,3,0,1
out575,3,0,1
out577,3,0,1
out578,3,0,1
out581,3,0,1
out583,3,0,1
out586,3,0,1
out588,3,0,1
out590,3,0,1
out593,3,0,1
out595,3,0,1
out597,3,0,1
out599,3,0,1
out601,3,0,1
out603,3,0,1
out611,3,0,1
out613,3,0,1
out615,3,0,1
out617,3,0,1
out619,3,0,1
out620,3,0,1
out622,3,0,1
out624,3,0,1
