Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
adult chitin-containing cuticle pigmentation (GO:0048085)	Feb-26	8.87381E-05	0.013576928	0.000430893	0.065926576	-2.198991812	20.51620076	e;kkv
compound eye morphogenesis (GO:0001745)	2/131	0.002252828	0.031839272	0.009402302	0.070376517	-1.213227144	7.395309954	mbl;pn
dendrite morphogenesis (GO:0048813)	2/141	0.002603498	0.031839272	0.010810733	0.070376517	-1.188739348	7.074068029	ash2;Rab5
imaginal disc development (GO:0007444)	2/140	0.00256734	0.031839272	0.010665863	0.070376517	-1.109081131	6.615541511	ash2;Rab5
neuron projection morphogenesis (GO:0048812)	2/180	0.004200042	0.031839272	0.017136523	0.070376517	-1.137691236	6.226198304	ash2;Rab5
cell morphogenesis involved in neuron differentiation (GO:0048667)	2/160	0.003336194	0.031839272	0.01373006	0.070376517	-0.966086489	5.509518332	ash2;Rab5
regulation of gene expression (GO:0010468)	2/458	0.025101086	0.042202926	0.093085654	0.128422494	-0.879624651	3.241279747	ash2;mbl
