term_ID,description,frequency,plot_X,plot_Y,plot_size,value,uniqueness,dispensability,representative,eliminated
GO:0010468,regulation of gene expression,10.82%,5.117,0.02,6.142,3.2413,0.725,0,10468,0
GO:0048085,adult chitin-containing cuticle pigmentation,0.00%,-4.828,-1.613,2.405,20.5162,0.212,0,48085,0
