Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,3,0.6667,2.000,0.000,NaN,0.0296732,"emp Su(z)12 Rab5"
2,3,0.6667,2.000,0.000,NaN,0.0296732,"wg tsh tup"
