1729	2916
2240	2307
2992	2916
2240	3322
2295	3033
280	3322
1729	1390
2101	3033
2101	143
670	2671
241	2671
3639	3322
3020	3322
1438	2945
2042	2613
2295	2878
2521	3103
2637	3103
2592	3742
2095	3033
1755	1577
2671	1577
1438	3322
4026	2613
906	906
670	2945
3683	3033
670	2307
3683	143
1462	143
217	2873
3165	3033
1929	3033
715	1224
1030	3033
3869	2878
3919	3954
280	2945
1103	2945
3639	2307
1438	2307
1847	2878
2635	3033
3165	3941
1265	1577
1494	3322
2945	3322
2095	3941
3021	1872
2307	2945
1972	2987
108	2987
3165	2878
3355	2878
108	3593
2101	3941
2992	1390
1972	3681
2838	1224
764	1872
3592	410
1375	410
2046	3322
1513	3033
2382	2382
3856	2906
2101	2878
3322	2878
2566	76
265	410
1050	1410
3437	410
2702	2613
3973	2987
670	3322
1462	3757
1388	3593
3816	3103
2240	2945
1513	143
2933	143
3159	2987
2046	2945
2332	3012
2046	2307
2390	2878
810	2878
717	3103
1268	1645
1438	2671
3683	2878
2095	2878
174	3012
3081	62
1199	62
241	1872
2581	3757
3639	2945
1513	2878
2307	3322
2737	3322
