Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
TfIIB	21/2744	0.000000003663185467683321799583587657597218145699713431895361281931400299072265625	0.00000026374935367319917949618566198333180494728367193602025508880615234375	0.00000010197834994977339542822120273257713307657468249090015888214111328125	0.000007342441196383684047315452969595384047352126799523830413818359375	-1.701771851992957	33.056803732651694	Su(H);bon;cnk;cactin;hpo;cos;Dl;cin;dmt;spn-A;tum;alph;asf1;Btk29A;CycA;CycE;Stat92E;mbo;pbl;osa;thr
hb	13/1223	0.00000028560746173081227369043816159688287115159255336038768291473388671875	0.00001028186862230924121758106337676252906021545641124248504638671875	0.0000038549423322053851244752865901066485321280197240412235260009765625	0.00013877792395939386109297852822663799088331870734691619873046875	-1.6184245413625113	24.387468887280267	Su(H);bon;dmt;spn-A;alph;asf1;tok;E(z);Btk29A;chinmo;CycE;Stat92E;pbl
Med	25/5130	0.00000047675300049256321885914056135646887923940084874629974365234375	0.00001144207201182151725261937347255525310174562036991119384765625	0.00001318808730265641653337481409291598311028792522847652435302734375	0.0003165140952637540239060498503675944448332302272319793701171875	-1.5404106231813695	22.422628781010467	Su(H);bon;cactin;cos;cin;dmt;tum;alph;asf1;tok;E(z);cnk;Pde8;hpo;Dl;spn-A;glu;Btk29A;CycA;CycE;Stat92E;mbo;pbl;osa;thr
h	19/3079	0.000001043268257438667538238193099875417146904510445892810821533203125	0.00001877882863389601568828747579775750864428118802607059478759765625	0.000023751831517718622797073757535457616540952585637569427490234375	0.00042753296731893523745238194777584794792346656322479248046875	-1.5073650384080737	20.76116812071047	Su(H);bon;cnk;cactin;Pde8;cos;Dl;dmt;alph;asf1;glu;tok;Btk29A;CycA;esc;CycE;Stat92E;pbl;osa
sens	27/6675	0.000005018286042067497370179444959870096454324084334075450897216796875	0.000072263319005771962130584007422129388942266814410686492919921875	0.0001343918974816651380754795042093974188901484012603759765625	0.0016956885864534108898649122920687659643590450286865234375	-1.4775298468587925	18.029442869193673	Su(H);bon;cactin;CG16719;cos;cin;dmt;tum;alph;asf1;tok;E(z);pot;cnk;hpo;Pgant35A;spn-A;glu;Btk29A;CycA;esc;CycE;Stat92E;mbo;pbl;osa;thr
dl	28/7257	0.0000068642086763699323111501647554089089453555061481893062591552734375	0.000082370504116439184345670188047705551070976071059703826904296875	0.0001680534809876912841035412338186461056466214358806610107421875	0.00170684124923782955078610523713678048807196319103240966796875	-1.5104401615535428	17.957909754204632	Su(H);bon;cactin;cos;cin;dmt;tum;alph;asf1;tok;E(z);pot;cnk;Pde8;hpo;Pgant35A;Dl;spn-A;Btk29A;CycA;esc;chinmo;CycE;Stat92E;mbo;pbl;osa;thr
trx	27/6855	0.00000884727183556074299485873224657694890993298031389713287353515625	0.000087089905265848346059033568966611937867128290235996246337890625	0.0002439314830629869292055733609458911814726889133453369140625	0.0019514518645038954336445868875671294517815113067626953125	-1.487063430410639	17.302579940367544	Su(H);bon;cactin;cos;cin;dmt;tum;alph;asf1;tok;E(z);pot;cnk;hpo;Pgant35A;Dl;spn-A;glu;Btk29A;CycA;esc;chinmo;CycE;Stat92E;pbl;osa;thr
lin-52	15/2244	0.000009714315609494478858591641479147682503025862388312816619873046875	0.000087089905265848346059033568966611937867128290235996246337890625	0.00014130738220445091652376079505160078042536042630672454833984375	0.0016956885864534108898649122920687659643590450286865234375	-1.486198984562439	17.153574809554797	Su(H);cnk;hpo;cin;spn-A;tum;glu;tok;CycA;esc;CycE;Stat92E;pbl;osa;thr
D	24/5560	0.000010886238158231043257379196120826492233391036279499530792236328125	0.000087089905265848346059033568966611937867128290235996246337890625	0.0003098288052943284020222802777055903789005242288112640380859375	0.0022307673981191646246646786977407828089781105518341064453125	-1.3688856196690642	15.643640084562263	Su(H);bon;cnk;cactin;Pde8;hpo;cos;Dl;cin;dmt;spn-A;tum;alph;asf1;glu;tok;Btk29A;CycA;esc;chinmo;CycE;Stat92E;pbl;osa
hkb	11/1274	0.000021423229271418176900866614520424491274752654135227203369140625	0.00014249184151580548594005770635106955523951910436153411865234375	0.00018964902769309216327454914452488310416811145842075347900390625	0.00170684124923782955078610523713678048807196319103240966796875	-1.278242890044832	13.742433723000737	asf1;bon;E(z);Btk29A;CycA;CycE;cin;dmt;Stat92E;pbl;alph
Myb	24/5772	0.00002176958689824805997549417302394658690900541841983795166015625	0.00014249184151580548594005770635106955523951910436153411865234375	0.000617179960851577916365606757409523197566159069538116455078125	0.00341822747548566237274503265552993980236351490020751953125	-1.2609527291484612	13.536323334102775	Su(H);bon;cnk;cactin;hpo;cos;cin;dmt;spn-A;tum;alph;asf1;glu;tok;E(z);Btk29A;CycA;esc;CycE;Stat92E;mbo;pbl;osa;thr
abd-A	1/5	0.009713016638912920497350711457329452969133853912353515625	0.0189010053513981139683419741004399838857352733612060546875	0.0151032513135145492200184236253335257060825824737548828125	0.03367905643846198782132006499523413367569446563720703125	-2.798556686143975	12.969318707601339	CycE
mip120	22/5120	0.0000417656716881529440602190128561943538443301804363727569580078125	0.00021479488296764372005399901244260263410978950560092926025390625	0.001044526702882689166151930493242616648785769939422607421875	0.004423877800444331147289300787406318704597651958465576171875	-1.2697114432868877	12.803053832209182	Su(H);bon;cnk;cactin;hpo;cos;cin;dmt;spn-A;tum;alph;asf1;glu;tok;Btk29A;CycA;esc;CycE;Stat92E;pbl;osa;thr
BEAF-32	26/6874	0.0000385992075624458220290367849170110048362403176724910736083984375	0.00021479488296764372005399901244260263410978950560092926025390625	0.00115395651487819697091075088479783516959287226200103759765625	0.004615826059512787883643003539191340678371489048004150390625	-1.1936173136386556	12.12987193504118	Su(H);bon;cactin;cos;cin;dmt;tum;alph;asf1;tok;pot;cnk;Pde8;hpo;Pgant35A;spn-A;Btk29A;CycA;esc;chinmo;CycE;Stat92E;mbo;pbl;osa;thr
mip130	16/2856	0.0000408859692851478917692033265840478861719020642340183258056640625	0.00021479488296764372005399901244260263410978950560092926025390625	0.000610939632770467872489861260731913716881535947322845458984375	0.00341822747548566237274503265552993980236351490020751953125	-1.1704141361120919	11.826711346495642	Su(H);cnk;hpo;cin;spn-A;tum;glu;tok;Btk29A;CycA;esc;CycE;Stat92E;pbl;osa;thr
Cp190	27/7471	0.000052996964696898853541991158966339980906923301517963409423828125	0.0002543854305451144644754923884732988881296478211879730224609375	0.00159225570064879863065032683522304068901576101779937744140625	0.005732120522335674983605002807962591759860515594482421875	-1.0782131348179276	10.615305808453668	Su(H);bon;cactin;cos;cin;dmt;tum;alph;asf1;tok;E(z);pot;cnk;Pde8;hpo;Pgant35A;spn-A;glu;Btk29A;CycA;esc;CycE;Stat92E;mbo;pbl;osa;thr
E2f2	14/2340	0.000075613905686078958755247381162689634948037564754486083984375	0.0003402625755873553143986132152321033572661690413951873779296875	0.000884201139403699670586689318696471673320047557353973388671875	0.004401446436300574492628268075122832669876515865325927734375	-1.0205430092158236	9.684820848186847	Su(H);cnk;hpo;cin;tum;tok;Btk29A;CycA;esc;CycE;Stat92E;pbl;osa;thr
hth	1/5	0.009713016638912920497350711457329452969133853912353515625	0.0189010053513981139683419741004399838857352733612060546875	0.0151032513135145492200184236253335257060825824737548828125	0.03367905643846198782132006499523413367569446563720703125	-2.0319842430778885	9.416800948782148	CycE
Ubx	14/2363	0.000084210145003521609031495176456161289024748839437961578369140625	0.0003566547317796209259910256150760687887668609619140625	0.00097809920806679433169517068336062948219478130340576171875	0.004401446436300574492628268075122832669876515865325927734375	-1.0019882592388671	9.400849393198028	Su(H);bon;cnk;cactin;cos;Pgant35A;cin;spn-A;asf1;esc;CycE;Stat92E;pbl;osa
twi	20/4561	0.000096823103842449522783188131658249631072976626455783843994140625	0.0003804190720725103449888215845220429400797002017498016357421875	0.0019937836711680554345471616528584490879438817501068115234375	0.006525110196549999130866126506589353084564208984375	-0.923548898872969	8.536016063961851	Su(H);bon;cnk;cactin;Pde8;cos;Dl;cin;dmt;tum;alph;asf1;tok;E(z);Btk29A;CycA;CycE;Stat92E;pbl;osa
disco	11/1533	0.000116459760722333410484265192597064242363558150827884674072265625	0.0004192551386004003048484090054870421226951293647289276123046875	0.000940709079331692224999750262526276856078766286373138427734375	0.004401446436300574492628268075122832669876515865325927734375	-0.9287995298927375	8.413033398007624	asf1;bon;Btk29A;CycA;esc;cos;dmt;pbl;osa;alph;thr
pho	16/3071	0.00010038836624135690487637229129092020230018533766269683837890625	0.0003804190720725103449888215845220429400797002017498016357421875	0.001419850196789355922799558129554498009383678436279296875	0.00538048495625440166556519017149184946902096271514892578125	-0.8425899320466387	7.757274071218357	Su(H);bon;cnk;cactin;cos;cin;dmt;alph;asf1;Btk29A;CycA;chinmo;CycE;Stat92E;pbl;osa
exd	1/7	0.01357243061244782500462946472907788120210170745849609375	0.0244303751024060843144436461216173483990132808685302734375	0.0200884338178951397935190215093825827352702617645263671875	0.040176867635790279587038043018765165470540523529052734375	-1.6535280999820128	7.109699085897688	CycE
bcd	6/408	0.00012818578865608350691139560861842028316459618508815765380859375	0.0004394941325351434135461359264951397562981583178043365478515625	0.000518064532294711175934576186108415640774182975292205810546875	0.0033909678477472005031501112171099521219730377197265625	-0.7799300123568559	6.989756069231861	Su(H);bon;Btk29A;CycE;pbl;tum
prd	8/919	0.0003329835831953425703301496785257995725260116159915924072265625	0.0009638026292822644662539044446702973800711333751678466796875	0.00172148720039788541251446485347287307376973330974578857421875	0.00590224182993560712862102235476413625292479991912841796875	-0.7293653427405022	5.840332713743326	bon;tok;Pde8;CycA;CycE;Stat92E;pbl;osa
da	15/2924	0.00022102570206954946113210580538321892163367010653018951416015625	0.000691906545609024376496110075862588928430341184139251708984375	0.0026708823471429166997170856490129153826273977756500244140625	0.0080126470414287505328321259412405197508633136749267578125	-0.6701762558503526	5.641028734355466	Su(H);bon;cnk;Pde8;Dl;alph;asf1;tok;E(z);Btk29A;CycA;CycE;Stat92E;pbl;osa
Chro	26/7519	0.0002172362485635427327250457363305713442969135940074920654296875	0.000691906545609024376496110075862588928430341184139251708984375	0.006640495582890613979198946026372141204774379730224609375	0.017707988221041637277863856070325709879398345947265625	-0.6481823275183541	5.4671101066643715	Su(H);bon;cactin;cos;cin;dmt;tum;alph;asf1;tok;E(z);cnk;hpo;Pgant35A;Dl;spn-A;glu;Btk29A;CycA;esc;CycE;Stat92E;mbo;pbl;osa;thr
