Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0000982)	2/134	0.0280890569212527523024203190971093135885894298553466796875	0.07640186985754231219214460679722833447158336639404296875	0.1028465362517291536992303235820145346224308013916015625	0.230137281790273207082719864047248847782611846923828125	-1.0983628931589875	3.923764373190501	Su(H);Stat92E
motor activity (GO:0003774)	1/40	0.07517657185049760049100342484962311573326587677001953125	0.11813461290792480473665904128210968337953090667724609375	0.152829156104758168144286401002318598330020904541015625	0.2451634379180495371119974379325867630541324615478515625	-1.513108101009841	3.9157961212901076	cos
protein homodimerization activity (GO:0042803)	2/139	0.03004955439118910109908000549694406799972057342529296875	0.07640186985754231219214460679722833447158336639404296875	0.10926085267567157977008918123829062096774578094482421875	0.230137281790273207082719864047248847782611846923828125	-1.0148512068375704	3.5569595524653264	hpo;cos
protein serine/threonine phosphatase activity (GO:0004722)	1/53	0.09840129376011859385631197483235155232250690460205078125	0.148566659206453566266503685255884192883968353271484375	0.1964216814204062522275506808000500313937664031982421875	0.3024893893874256445286619054968468844890594482421875	-1.4763278045347565	3.423163239523267	alph
guanyl ribonucleotide binding (GO:0032561)	1/60	0.11067050780020294686867288191933766938745975494384765625	0.1549387109202841339428147193757467903196811676025390625	0.218995653266303380579671511441119946539402008056640625	0.3122715796575066260487574254511855542659759521484375	-1.5007126717054415	3.30336556690168	betaTub56D
ATPase activity (GO:0016887)	2/148	0.033711774582799704236268922841190942563116550445556640625	0.079634421177571301786457524940487928688526153564453125	0.12107402109381250332464929897469119168817996978759765625	0.2356325980934953212564408886464661918580532073974609375	-0.9529796906580197	3.2305135805968552	glu;cos
purine ribonucleoside binding (GO:0032550)	1/56	0.10367959149759704839954821409264695830643177032470703125	0.1506288404776409961538519155510584823787212371826171875	0.206171766564037184377156108894268982112407684326171875	0.30529280818136272923624119357555173337459564208984375	-1.3976130215952451	3.167620013810524	betaTub56D
kinase activity (GO:0016301)	2/149	0.034129037647530557908481796403066255152225494384765625	0.079634421177571301786457524940487928688526153564453125	0.1224065444641534161629436994189745746552944183349609375	0.2356325980934953212564408886464661918580532073974609375	-0.9325046595851684	3.1496339982441963	CycA;CycE
GTP binding (GO:0005525)	1/56	0.10367959149759704839954821409264695830643177032470703125	0.1506288404776409961538519155510584823787212371826171875	0.206171766564037184377156108894268982112407684326171875	0.30529280818136272923624119357555173337459564208984375	-1.1403502267612284	2.584546755953412	betaTub56D
transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding (GO:0001078)	1/60	0.11067050780020294686867288191933766938745975494384765625	0.1549387109202841339428147193757467903196811676025390625	0.218995653266303380579671511441119946539402008056640625	0.3122715796575066260487574254511855542659759521484375	-1.0884666216015773	2.395930431129319	Su(H)
GTPase activator activity (GO:0005096)	1/81	0.146510101054606156623094648239202797412872314453125	0.1944426613486285593257463233385351486504077911376953125	0.283129389591820379568076759824180044233798980712890625	0.374564776464925641707992554074735380709171295166015625	-1.0611830146889265	2.0381727280086754	tum
transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001227)	1/73	0.1330260296396985619793440491775982081890106201171875	0.1829107907545855227215980676191975362598896026611328125	0.25931644338302473062896069677663035690784454345703125	0.35656010965165896298145753462449647486209869384765625	-1.008159795301427	2.033670482752607	Su(H)
GTPase regulator activity (GO:0030695)	1/83	0.1498490592371261309612151535475277341902256011962890625	0.1944426613486285593257463233385351486504077911376953125	0.288966974861136038921216595554142259061336517333984375	0.374564776464925641707992554074735380709171295166015625	-1.0637638999958698	2.019158728382308	tum
phosphatase activity (GO:0016791)	1/81	0.146510101054606156623094648239202797412872314453125	0.1944426613486285593257463233385351486504077911376953125	0.283129389591820379568076759824180044233798980712890625	0.374564776464925641707992554074735380709171295166015625	-1.0406014779709942	1.998642575095989	alph
nucleoside-triphosphatase activity (GO:0017111)	2/230	0.07392984342390269969502725189158809371292591094970703125	0.11813461290792480473665904128210968337953090667724609375	0.239154524124405742924182050046510994434356689453125	0.3348163337741680845027758550713770091533660888671875	-0.7340373468335663	1.911902078834932	glu;cos
purine ribonucleoside triphosphate binding (GO:0035639)	1/94	0.1679870656224851932503128182361251674592494964599609375	0.2053175246497041250837156667330418713390827178955078125	0.320268180153808479371235762300784699618816375732421875	0.3914388868546547772808708032243885099887847900390625	-1.0170481637509132	1.8142799716523044	betaTub56D
phosphoprotein phosphatase activity (GO:0004721)	1/91	0.163078076046806963450563898732070811092853546142578125	0.2045685494672643545133183806683518923819065093994140625	0.31186499654399202352550446448731236159801483154296875	0.390808604956806693309090405819006264209747314453125	-0.9932645560418385	1.801311294626234	alph
calcium ion binding (GO:0005509)	1/84	0.1515137620898404369196299512623227201402187347412109375	0.1944426613486285593257463233385351486504077911376953125	0.2918686569856563384206538103171624243259429931640625	0.374564776464925641707992554074735380709171295166015625	-0.934153986815137	1.7628222024661955	Eip63F-1
Ras GTPase binding (GO:0017016)	1/92	0.16471753333727778834116861617076210677623748779296875	0.2045685494672643545133183806683518923819065093994140625	0.314677058536649567610510302984039299190044403076171875	0.390808604956806693309090405819006264209747314453125	-0.8903794438077249	1.6058199759263587	pbl
tubulin binding (GO:0015631)	1/120	0.2093728208513949973212930899535422213375568389892578125	0.237083929493491385454007058797287754714488983154296875	0.38909025524113527438885284936986863613128662109375	0.440587494905403165290636025019921362400054931640625	-1.0163194157027102	1.5891564556612792	cos
microtubule binding (GO:0008017)	1/111	0.195279222530085394549104194084065966308116912841796875	0.2278257596184329603072882264314102940261363983154296875	0.36605981704996193304424423331511206924915313720703125	0.426658717987376590041748158910195343196392059326171875	-0.9646297984296871	1.57555380559787	cos
metal ion binding (GO:0046872)	1/107	0.1889371069969340288796644244939670898020267486572265625	0.22381780367329107139795496550505049526691436767578125	0.35555908958905602101907561518601141870021820068359375	0.42120076766703562487492717991699464619159698486328125	-0.9377109418839071	1.5625462697346886	Eip63F-1
ATPase activity, coupled (GO:0042623)	1/107	0.1889371069969340288796644244939670898020267486572265625	0.22381780367329107139795496550505049526691436767578125	0.35555908958905602101907561518601141870021820068359375	0.42120076766703562487492717991699464619159698486328125	-0.9307955987533894	1.551022949348966	spn-A
RNA polymerase II regulatory region DNA binding (GO:0001012)	1/127	0.2201679551326199690830520694362348876893520355224609375	0.2456946745682860588910756405311985872685909271240234375	0.406446248631941287055013845019857399165630340576171875	0.453570451371876515178627187196980230510234832763671875	-0.8729438430766387	1.321082302458359	Su(H)
protein heterodimerization activity (GO:0046982)	1/113	0.198432133937772758880413448423496447503566741943359375	0.22804887034639553800019484697259031236171722412109375	0.3712484948721328503751237803953699767589569091796875	0.426658717987376590041748158910195343196392059326171875	-0.7961637878364582	1.2876421683398107	glu
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	1/200	0.324524116673803375565654505408019758760929107666015625	0.347060513665039704900294736944488249719142913818359375	0.56144712330776813669075409052311442792415618896484375	0.599869713859213948836668350850231945514678955078125	-0.8171076069647686	0.9195691635192361	Su(H)
sequence-specific DNA binding (GO:0043565)	1/197	0.320517298917959159165746996222878806293010711669921875	0.347060513665039704900294736944488249719142913818359375	0.55592501081595446787986247727531008422374725341796875	0.599869713859213948836668350850231945514678955078125	-0.7806143828872981	0.8881978993905212	Su(H)
protein serine/threonine kinase activity (GO:0004674)	1/172	0.2862141925933670005832709648529998958110809326171875	0.31483561185270370064159806133829988539218902587890625	0.50724310107027725802453232972766272723674774169921875	0.5579674111773049727247553164488635957241058349609375	-0.6903771971098759	0.8636721072632201	hpo
transcription regulatory region sequence-specific DNA binding (GO:0000976)	1/204	0.32983074546071045052286763166193850338459014892578125	0.347903663020201425748467727316892705857753753662109375	0.568707650801592468070566610549576580524444580078125	0.599869713859213948836668350850231945514678955078125	-0.7638343351662987	0.8472264441610359	Su(H)
zinc ion binding (GO:0008270)	1/211	0.33901976510524589603079448352218605577945709228515625	0.35276380963653963807047375667025335133075714111328125	0.58113725082858624926274160316097550094127655029296875	0.60469686910542075342078760513686574995517730712890625	-0.6009570855141383	0.6500533978977816	bon
transition metal ion binding (GO:0046914)	1/242	0.378259589015868868955294601619243621826171875	0.383236688871340824835698413153295405209064483642578125	0.6321743107863968536008769660838879644870758056640625	0.64049239382305989121135780806071124970912933349609375	-0.6315366748906374	0.6139638989095477	bon
ubiquitin-protein transferase activity (GO:0004842)	1/231	0.364602849514910065664707872201688587665557861328125	0.37432559216864103035504740546457469463348388671875	0.614787403148457034518514774390496313571929931640625	0.63118173389908249770741122119943611323833465576171875	-0.6035514947997006	0.6089512293955799	bon
RNA binding (GO:0003723)	1/401	0.54645213428627936735892944852821528911590576171875	0.54645213428627936735892944852821528911590576171875	0.8132284980604633783940471403184346854686737060546875	0.8132284980604633783940471403184346854686737060546875	-0.5889478255580239	0.3559062130476523	cactin
