GO:0031062	41.68967155
GO:0031058	36.59783208
GO:0048663	34.40956332
GO:0007096	32.93990697
GO:1902808	30.89728694
GO:1904029	26.54794082
GO:0035186	25.35677778
GO:0033301	23.73220428
GO:0007422	22.01242057
GO:0071900	21.16733444
GO:0014017	20.59274682
GO:0045448	18.85256158
GO:0000079	18.57884245
GO:0031060	18.37458355
GO:1901990	18.15769735
GO:0006479	17.46083789
GO:0034968	17.23264425
GO:0045787	17.04142787
GO:0007400	16.68745509
GO:0051783	16.56518817
GO:0007399	16.39421697
GO:0000819	16.36016211
GO:0016571	15.69629302
GO:0007088	14.95549742
GO:0010564	13.30728546
GO:0048867	13.04130099
GO:0140014	11.48955748
GO:0007423	10.70777531
GO:0048522	10.12921751
GO:0065004	9.864725647
GO:0008284	9.721462663
GO:0000070	8.897162549
GO:0007419	8.575826523
GO:0007346	7.732360124
GO:0045892	7.357559407
GO:0051726	7.248256886
GO:0016570	7.048247113
GO:0007417	6.172928428
GO:0042127	6.071647767
GO:0000122	5.437202651
GO:0048477	4.786729487
GO:0007409	4.727776878
GO:0007476	4.601909579
GO:0006357	4.545737524
GO:0007292	4.442827364
GO:0007411	4.28718302
GO:0010629	4.190722526
