Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of histone methylation (GO:0031062)	02-Oct	1.74995E-05	0.000528484	0.000115782	0.00344103	-3.80611475	41.68967155	E(z);esc
positive regulation of histone modification (GO:0031058)	02-Oct	1.74995E-05	0.000528484	0.000115782	0.00344103	-3.341248404	36.59783208	E(z);esc
neuron fate commitment (GO:0048663)	02-Oct	1.74995E-05	0.000528484	0.000115782	0.00344103	-3.141467458	34.40956332	CycE;da
regulation of exit from mitosis (GO:0007096)	02-Nov	2.13804E-05	0.000538073	0.00013673	0.00344103	-3.063312047	32.93990697	CycA;CycE
positive regulation of cell cycle G1/S phase transition (GO:1902808)	Feb-13	3.0299E-05	0.000653594	0.000183779	0.003964381	-2.969638138	30.89728694	CycA;CycE
regulation of cyclin-dependent protein kinase activity (GO:1904029)	Feb-16	4.65626E-05	0.00087887	0.000267182	0.005043059	-2.661524583	26.54794082	CycA;CycE
syncytial blastoderm mitotic cell cycle (GO:0035186)	Feb-18	5.93239E-05	0.000995322	0.00033129	0.005558308	-2.605371696	25.35677778	E(z);CycA
cell cycle comprising mitosis without cytokinesis (GO:0033301)	Feb-21	8.13354E-05	0.001228164	0.000440133	0.006606734	-2.520163694	23.73220428	E(z);CycA
peripheral nervous system development (GO:0007422)	Apr-79	1.56892E-07	2.36907E-05	3.55448E-06	0.000536726	-1.404954638	22.01242057	glu;CycA;CycE;da
regulation of protein serine/threonine kinase activity (GO:0071900)	Feb-24	0.00010678	0.001280173	0.000564098	0.006606734	-2.314701414	21.16733444	CycA;CycE
neuroblast fate commitment (GO:0014017)	Feb-31	0.000179441	0.001290263	0.000911574	0.006606734	-2.387380285	20.59274682	CycE;da
"mitotic cell cycle, embryonic (GO:0045448)"	Feb-31	0.000179441	0.001290263	0.000911574	0.006606734	-2.185635274	18.85256158	E(z);CycA
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	Feb-26	0.000125646	0.001280173	0.000655092	0.006606734	-2.068442243	18.57884245	CycA;CycE
regulation of histone methylation (GO:0031060)	Feb-27	0.000135647	0.001280173	0.000703082	0.006606734	-2.06329619	18.37458355	E(z);esc
regulation of mitotic cell cycle phase transition (GO:1901990)	Feb-25	0.000116023	0.001280173	0.000608763	0.006606734	-2.0037801	18.15769735	CycA;CycE
protein methylation (GO:0006479)	Feb-29	0.000156788	0.001290263	0.000804029	0.006606734	-1.993105802	17.46083789	E(z);esc
histone lysine methylation (GO:0034968)	Feb-39	0.00028511	0.001722062	0.001407109	0.00849894	-2.111161433	17.23264425	E(z);esc
positive regulation of cell cycle (GO:0045787)	Feb-34	0.000216248	0.001360562	0.001085193	0.006827673	-2.019345851	17.04142787	CycA;CycE
neuroblast fate determination (GO:0007400)	Feb-27	0.000135647	0.001280173	0.000703082	0.006606734	-1.873847231	16.68745509	CycE;da
regulation of nuclear division (GO:0051783)	Feb-30	0.000167925	0.001290263	0.000856979	0.006606734	-1.905798944	16.56518817	CycA;CycE
nervous system development (GO:0007399)	5/246	3.21008E-07	2.42361E-05	1.23739E-05	0.000934232	-1.096471089	16.39421697	glu;E(z);CycA;CycE;da
sister chromatid segregation (GO:0000819)	Feb-34	0.000216248	0.001360562	0.001085193	0.006827673	-1.93861839	16.36016211	glu;CycA
histone methylation (GO:0016571)	Feb-31	0.000179441	0.001290263	0.000911574	0.006606734	-1.819719382	15.69629302	E(z);esc
regulation of mitotic nuclear division (GO:0007088)	Feb-41	0.000315275	0.001831018	0.001547179	0.008985542	-1.855045156	14.95549742	CycA;CycE
regulation of cell cycle process (GO:0010564)	Feb-43	0.000346932	0.00194025	0.001693664	0.00947197	-1.670430334	13.30728546	CycA;CycE
stem cell fate determination (GO:0048867)	Feb-32	0.000191333	0.00131324	0.000967811	0.0066427	-1.523250446	13.04130099	CycE;da
mitotic nuclear division (GO:0140014)	Feb-67	0.000842024	0.00438433	0.003940834	0.021252354	-1.622887048	11.48955748	glu;CycA
sensory organ development (GO:0007423)	3/143	9.71299E-05	0.001280173	0.000918817	0.006606734	-1.158917737	10.70777531	CycE;rdo;da
positive regulation of cellular process (GO:0048522)	Feb-97	0.001753772	0.007788812	0.007964846	0.035373285	-1.596161293	10.12921751	CycA;CycE
protein-DNA complex assembly (GO:0065004)	Feb-69	0.000892781	0.004493667	0.004167979	0.021702237	-1.404997654	9.864725647	asf1;spn-A
positive regulation of cell proliferation (GO:0008284)	Feb-73	0.000998633	0.004864307	0.004640238	0.023355863	-1.407047143	9.721462663	CycA;CycE
mitotic sister chromatid segregation (GO:0000070)	Feb-76	0.001081802	0.005104752	0.005010039	0.024403741	-1.302825687	8.897162549	glu;CycA
ventral cord development (GO:0007419)	Feb-83	0.001288399	0.005895403	0.00592435	0.02756141	-1.288754055	8.575826523	glu;CycE
regulation of mitotic cell cycle (GO:0007346)	2/100	0.001862464	0.008035204	0.008438132	0.036404511	-1.230120721	7.732360124	CycA;CycE
"negative regulation of transcription, DNA-templated (GO:0045892)"	3/279	0.000692492	0.003734511	0.006023354	0.02756141	-1.011318649	7.357559407	asf1;E(z);esc
regulation of cell cycle (GO:0051726)	2/122	0.002754844	0.011242743	0.012285195	0.040113477	-1.229686448	7.248256886	CycA;CycE
histone modification (GO:0016570)	2/105	0.002050594	0.008601103	0.009254696	0.03811168	-1.138719434	7.048247113	E(z);esc
central nervous system development (GO:0007417)	2/170	0.005268071	0.016234258	0.022841366	0.047242572	-1.176671982	6.172928428	glu;CycE
regulation of cell proliferation (GO:0042127)	2/155	0.004401029	0.014909008	0.019238749	0.042369123	-1.119008607	6.071647767	CycA;CycE
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	2/192	0.006670401	0.01656025	0.028595	0.054572788	-1.085253687	5.437202651	asf1;esc
oogenesis (GO:0048477)	2/216	0.008373245	0.016951541	0.035474939	0.057938097	-1.000839636	4.786729487	spn-A;da
axonogenesis (GO:0007409)	2/212	0.008077107	0.016951541	0.034286222	0.057938097	-0.981126801	4.727776878	tok;E(z)
imaginal disc-derived wing morphogenesis (GO:0007476)	2/240	0.010251701	0.019180699	0.042945129	0.066065901	-1.004715381	4.601909579	tok;CycE
regulation of transcription from RNA polymerase II promoter (GO:0006357)	3/630	0.007025725	0.01656025	0.052164191	0.072933268	-0.916816318	4.545737524	asf1;esc;da
female gamete generation (GO:0007292)	2/208	0.007785869	0.016795232	0.033114081	0.057473865	-0.915019635	4.442827364	spn-A;da
axon guidance (GO:0007411)	2/242	0.010416009	0.019180699	0.04359306	0.066065901	-0.939263065	4.28718302	tok;E(z)
negative regulation of gene expression (GO:0010629)	2/245	0.010664685	0.019402018	0.044572087	0.066637477	-0.922900469	4.190722526	tok;E(z)
