Periods,3,4,5,6,7,8,9
1,206,138,101,61,50,35,34
2,104,53,34,20,14,10,
3,42,28,11,7,,,
4,17,12,,,,,
5,13,,,,,,
6,,,,,,,
7,3,,,,,,
8,2,,,,,,
9,3,,,,,,
