gene1	gene2
ofs	Crk
cnc	Crk
acj6	Crk
ftz-f1	Crk
sgl	Crk
Pka-C3	Crk
ena	Crk
Dat	ssh
Dp	ssh
CG12301	fs(1)K10
dl	fs(1)K10
numb	fs(1)K10
Rca1	fs(1)K10
hyx	fs(1)K10
Arc-p34	fs(1)K10
Idgf2	Psn
pelo	CkIIalpha
MED11	CkIIalpha
l(2)efl	car
Iswi	car
fs(2)ltoPP43	car
tin	car
Rab5	car
RhoGAPp190	capu
wrapper	capu
xmas-2	capu
Dys	capu
mbt	capu
Hr78	capu
sced	capu
Lar	capu
dsx	cact
how	cact
Idgf1	cact
CG8216	cact
fred	cact
ry	Patj
Khc	Patj
dsd	Patj
CtBP	xl6
kuk	xl6
Rpd3	xl6
dpld	xl6
dom	xl6
l(3)mbt	xl6
tld	xl6
scyl	xl6
sgl	dally
fw	dally
kuk	CtBP
Rpd3	CtBP
dpld	CtBP
dom	CtBP
tld	CtBP
mus304	CtBP
shrb	Dad
lic	Dad
bcd	Dad
slam	Dad
flfl	Dad
Dp	amx
ppan	amx
CG12301	amx
Rca1	amx
CG9769	amx
Rbp9	amx
hyx	amx
Arc-p34	amx
ken	Ank2
CG18369	Ank2
mbl	CG34417
ALiX	scra
Sema-2a	scra
jing	Ephrin
CG33205	Ephrin
wls	Appl
Cct1	Chc
Rab7	Chc
cathD	Orct
scrib	Orct
Sobp	Orct
14-3-3zeta	Orct
Pka-C3	Pka-C3
tra	Pka-C3
dpn	vlc
kis	vlc
brat	vlc
stg	vlc
hdc	vlc
RhoGAPp190	fl(2)d
shot	Nf1
chic	Nf1
rhea	Nf1
E(z)	CycE
Caf1	CycE
dmt	CycE
thr	CycE
asf1	CycE
betaTub56D	CycE
Lim1	CG8247
up	CG8247
Mhc	CG8247
ey	CG8247
Wnt5	CSN4
ken	CSN4
chinmo	Pgant35A
CG9520	Pgant35A
mri	Pen
gkt	Pen
kkv	Pen
LCBP1	Pen
neur	Pen
Su(var)2-10	tld
CycB	tld
l(2)efl	tld
Pcaf	tld
xl6	tld
CtBP	tld
kuk	tld
Rpd3	tld
dpld	tld
dom	tld
l(3)mbt	tld
e	tld
Sema-2a	Tl
Mmp1	Tl
CG9769	Tl
klar	Tl
Pk92B	tkv
oaf	tkv
dnc	tkv
Lac	tkv
knrl	CG4500
qkr58E-3	CG4500
cact	CG8216
Psn	CG8216
dl	Idgf2
numb	Idgf2
Dif	Idgf2
mus304	Idgf2
Cyp1	slam
Dad	slam
tub	slam
Nf1	slam
shrb	slam
bcd	slam
Su(z)12	slam
kay	trio
sec13	trio
ix	trio
hkb	trio
bun	trio
her	trio
Pkn	trio
Dredd	pio
esc	pio
alien	thr
Dl	thr
Stat92E	thr
CycA	thr
Eip63F-1	thr
E(z)	thr
Caf1	thr
dmt	thr
asf1	thr
tra	thr
kis	stg
meso18E	stg
Rheb	stg
ecd	l(2)37Cc
PhKgamma	l(2)37Cc
bap	dec-1
bigmax	dec-1
CG18369	dec-1
knrl	dos
Atg5	Pvf1
Sh	Pvf1
xmas-2	Pvf1
Tina-1	Dredd
tral	Dredd
