gene1	gene2
E(bx)	Su(z)12
Idgf5	Su(z)12
trio	Su(z)12
pbl	emp
cactin	emp
sec23	emp
cos	emp
kuk	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
CG10641	Rab5
mmy	Rab5
twi	Rab5
eve	Rab5
Hr78	Rab5
tow	Rab7
Uba1	Mmp2
tou	Mmp2
bap	W
chrw	W
Khc	bowl
Moe	fd59A
puc	tra2
by	tra2
sgg	tra2
Rab7	cathD
RhoGAPp190	cathD
18w	d
Mitf	d
cactin	pbl
cnk	pbl
pot	pbl
Su(H)	pbl
tum	pbl
alph	pbl
mbo	pbl
wee	pbl
osa	pbl
wls	CG33205
rdo	da
hpo	da
tok	da
spn-A	da
Borr	da
CG16719	da
glu	da
CycE	da
esc	da
alien	da
Dl	da
Stat92E	da
CycA	da
Eip63F-1	da
E(z)	da
Caf1	da
dmt	da
thr	da
asf1	da
emp	cactin
pbl	cactin
sec23	cactin
Pde8	cactin
cos	cactin
cnk	cactin
pot	cactin
Su(H)	cactin
tum	cactin
alph	cactin
mbo	cactin
wee	cactin
osa	cactin
spn-A	hpo
Borr	hpo
CG16719	hpo
bon	hpo
cin	hpo
Mer	hpo
glu	hpo
CycE	hpo
esc	hpo
alien	hpo
Dl	hpo
Stat92E	hpo
CycA	hpo
Eip63F-1	hpo
E(z)	hpo
Caf1	hpo
dmt	hpo
thr	hpo
asf1	hpo
Ephrin	Sema-2a
vap	Sema-2a
Tl	Sema-2a
snf	Sema-2a
sns	Eip74EF
wal	Eip74EF
frc	Eip74EF
capu	RhoGAPp190
Abl	BicD
rux	BicD
bigmax	BicD
spin	BicD
Su(var)2-10	MYPT-75D
Pcaf	MYPT-75D
sls	MYPT-75D
Rpd3	MYPT-75D
dpld	MYPT-75D
dom	MYPT-75D
Apc	MYPT-75D
Dad	mus304
lic	mus304
slam	mus304
E(z)	tok
Caf1	tok
dmt	tok
thr	tok
asf1	tok
lva	ttk
crol	ttk
amx	flfl
drm	flfl
CG1244	flfl
Taf4	flfl
dl	flfl
numb	flfl
Rca1	flfl
hyx	flfl
Arc-p34	flfl
RhoL	Pvr
raw	Pvr
Set2	Pvr
Wnt5	Pvr
Jra	tll
sqd	tll
d4	tll
bhr	tll
lwr	tll
Tm1	Tm1
Yp1	Tm1
CG17739	Tm1
boss	Tm1
inaC	Tm1
Spred	Tm1
chp	Tm1
hep	Tm1
ftz-f1	Tm1
Pka-C3	Tm1
gbb	Tm1
Jafrac2	Tm1
ninaE	Tm1
Pop2	Btk29A
Alk	fred
Patj	fred
ecd	fred
dock	Src64B
Rpd3	neur
zfh2	W
crol	bowl
prd	bowl
Eip63F-1	rdo
MED24	cathD
tral	tamo
fw	tamo
pav	Pvr
tra2	sgg
cher	sgg
meso18E	sgg
Rbp9	sgg
trio	sgg
betaTub56D	ird5
spn-A	E(z)
RhoL	pav
tow	uzip
CG14995	dec-1
CG18369	dos
Apc	Dif
NAT1	Hs6st
Sema-1b	Hs6st
Sxl	gl
ecd	mbt
Cyp1	Sin3A
PebIII	vap
Pkn	Src42A
Patj	esg
Ptpmeg	PebIII
hdc	PebIII
mri	dos
flfl	Dif
CG1244	Dif
lmd	Dif
hyx	Dif
rdo	asf1
RhoGAP68F	Mitf
spir	Pvf1
dlg1	Pvf1
knrl	Pvf1
Apc	Mitf
Atg5	Pvf1
