gene1	gene2
Ef1gamma	tin
sli	sax
MED11	Cks30A
Rack1	Hem
sty	CG9520
Moe	Cyt-c-d
Set2	Pvr
l(2)efl	tld
Pk92B	dpp
Su(var)2-10	l(3)mbt
dei	eg
Dok	tub
CG2681	Sur
tin	beta4GalNAcTA
Sur	Sobp
Atpalpha	ecd
Dif	Rca1
cbt	CG12301
Cka	Pk92B
d	Sema-2a
Idgf4	ine
sgg	pot
jar	Nrt
zfh2	boss
kis	Lcp65Ag1
tum	Su(var)2-10
Tina-1	MED24
Bap60	Dat
bon	esc
Pde8	sll
SelD	CkIIalpha
sas	spen
lmd	gl
bon	hpo
Eip63E	abd-A
dnc	eff
SelG	cnc
glu	numb
Idgf4	how
tld	Dad
foxo	thr
bon	Lac
kis	Sry-delta
boss	Tm1
chic	Sb
Pgant35A	ine
Yp1	rdo
trc	18w
siz	disco
frc	apt
yrt	Hs6st
