gene1	gene2
numb	Psn
kuz	E2f
Idgf2	elav
th	Arc42
zfh1	frc
Pka-C3	pn
Atpalpha	RhoGAPp190
Dat	Bap60
Rab5	twi
Dat	tll
Myo31DF	p53
ash1	aft
RpL30	tral
CG6416	btl
brat	Dok
tok	wus
cbt	tll
Alk	bl
CG17739	dpld
CtBP	Rpd3
cort	pn
PebIII	hdc
CG9445	mus304
morgue	Myo31DF
ix	nmo
form3	N
msk	l(3)mbt
Myo61F	CG33205
Arc42	hyd
Cyt-c-d	rad50
Src64B	Pi3K92E
wus	puc
Pk61C	Mmp2
tutl	cort
CG6416	her
B4	wee
by	CG34417
Hr46	cactin
ssh	CG6416
toe	Optix
dom	l(3)mbt
CG34379	robo
18w	Mitf
Mmp1	CG17470
Mmp2	emp
alph	CG9445
yrt	Jra
bun	klar
CycE	pbl
CG32486	CG9520
Msp-300	Ptpmeg
cnc	shn
MED24	Dok
sn	loco
CG1244	pio
pnt	Mmp2
Sobp	bcd
Not1	Mlc1
yrt	chrw
rdo	CG16719
neur	Dat
ninaE	tsh
PebIII	Bap60
emb	enok
Stat92E	up
mbl	sec23
Dok	Idgf5
flfl	Orct
rhea	Nf1
ImpE3	Sb
mbo	osa
vlc	Axn
sqd	ssh
Lac	Moe
ftz-f1	rux
Trl	Hr46
CG9509	dpn
flfl	Dat
sec23	E(z)
boss	cic
hpo	hpo
CG33205	pdm2
MED4	Sh
bs	par-1
Cp1	dup
ben	CSN4
twi	Dcp-1
jumu	sktl
bcd	nej
Pk61C	cta
Orct	bhr
bib	Dok
sbb	kay
Myo31DF	morgue
ksr	Moe
Pvr	Set2
Set2	emp
pio	ytr
l(2)37Cc	S6kII
pdm2	Tina-1
l(2)efl	zfh1
EcR	yrt
chp	chp
tra2	MED4
ine	Idgf4
scyl	Crk
kkv	ash2
l(2)37Cc	mri
fs(1)K10	stg
Aph-4	fru
fw	tud
tin	Idgf4
aft	Dredd
E2f	up
eff	gkt
Moe	MED4
Pi3K92E	Rca1
E2f	cg
sgl	Ca-alpha1D
EcR	hyx
Ice	Psn
run	stumps
CG34417	pn
bib	noc
cp309	Aph-4
Syx1A	stil
ea	SelG
PebIII	hkb
rux	ftz-f1
l(2)efl	Su(var)2-10
CG1942	dally
lva	ap
cta	Axn
E2f2	Alk
dsd	Khc
fal	fred
Cyp1	prd
ecd	eg
Pka-C3	CadN
ash1	Dok
rg	Snap
brk	Cct1
dei	blow
wupA	phyl
puc	ALiX
brk	Pgant35A
tou	Crk
Moe	CG13850
rhea	Eip63F-1
xmas-2	MED24
RpL30	Sin3A
dei	lola
capu	xmas-2
tamo	Uba1
Dp	Su(var)2-10
wee	ine
cnk	Eip71CD
Khc	mbt
Sur	Es2
dei	Pop2
Eip63F-1	Sur
chinmo	sle
CG34417	prod
run	ppan
dl	sina
W	NetB
Lar	dco
ex	Krn
Apc	140up
RhoGAP68F	spin
Pcaf	l(3)mbt
Stat92E	jumu
cin	thr
fru	Optix
shot	slam
ecd	exu
Taf4	ct
dmt	hpo
knrl	flw
Chi	snf
bigmax	dj
bs	Pde8
cbt	Tm1
Mlc1	Mhc
crc	G-ialpha65A
sno	Dhc64C
bigmax	ap
Su(z)12	nmo
Hr78	sav
brat	dpn
sli	ine
Dcp-1	neur
Moe	inv
phyl	RpL30
Dp	Src64B
cg	Sur
Nrx-IV	Atpalpha
svr	Akt1
Mhc	CG33205
pyd	srp
kkv	Rack1
Eip71CD	blow
d	CG34379
Idgf5	Bap60
G-oalpha47A	Rack1
dsx	CG3075
bt	vap
tok	betaTub56D
Pink1	nej
sec23	dpld
pio	CG8216
Arc-p34	Alk
dnc	CG12896
mask	mbt
Pvr	mbo
Rca1	CG1244
Mef2	LanB1
Nrt	Hs6st
cactin	Tm1
Mkp3	dally
bap	dlg1
Mhc	dos
tkv	Aph-4
fw	phyl
Stat92E	betaTub56D
Cka	Nrt
Oseg1	Ark
dpn	qua
shn	PhKgamma
asf1	Arc-p34
glu	numb
foxo	toe
up	ey
Tl	sgl
dj	18w
Rho1	Myo61F
Pde8	G-oalpha47A
qm	RhoGAPp190
eff	pbl
sas	baz
exu	brm
CG1942	raw
blow	PebIII
sas	CG32486
RhoGAPp190	par-1
rdo	glu
mus304	PhKgamma
Galpha73B	sns
Hem	Idgf2
dpp	Rack1
dpn	Taf4
mth	Sin3A
mam	ap
Rho1	beta4GalNAcTA
Khc	Nf1
gro	tow
vlc	meso18E
uzip	tow
Src64B	form3
shot	CSN4
E(z)	CycA
Dok	ash1
Su(var)2-10	Abd-B
shrb	mus304
opa	noc
CycE	alien
Borr	ine
sax	cin
CG3987	Apc
tum	alph
Sema-2a	p53
vap	bigmax
LanB1	CG34379
MYPT-75D	dpld
mbl	tum
CG2681	Sur
vlc	Taf4
CG18369	Dif
betaTub56D	Stat92E
NetB	eIF-4a
Ef1gamma	CG17221
cbt	Dhc64C
FKBP59	btl
exu	SelG
Pkn	Chc
tud	fs(1)M3
Cyt-c-d	Not1
Mitf	RhoGAP68F
