gene1	gene2
E(bx)	Su(z)12
Idgf5	Su(z)12
trio	Su(z)12
kuk	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
CG10641	Rab5
mmy	Rab5
tou	Mmp2
bap	W
Khc	bowl
Moe	fd59A
puc	tra2
by	tra2
sgg	tra2
Rab7	cathD
tum	pbl
wee	pbl
wls	CG33205
CG16719	da
glu	da
CycE	da
esc	da
alien	da
Dl	da
Stat92E	da
thr	da
emp	cactin
Su(H)	cactin
spn-A	hpo
glu	hpo
CycE	hpo
esc	hpo
alien	hpo
Dl	hpo
Stat92E	hpo
E(z)	hpo
Caf1	hpo
snf	Sema-2a
wal	Eip74EF
capu	RhoGAPp190
Abl	BicD
rux	BicD
bigmax	BicD
spin	BicD
Su(var)2-10	MYPT-75D
Pcaf	MYPT-75D
sls	MYPT-75D
Rpd3	MYPT-75D
dpld	MYPT-75D
dom	MYPT-75D
Apc	MYPT-75D
Dad	mus304
E(z)	tok
Caf1	tok
dmt	tok
thr	tok
asf1	tok
lva	ttk
crol	ttk
tral	tamo
fw	tamo
amx	flfl
drm	flfl
CG1244	flfl
dl	flfl
numb	flfl
Rca1	flfl
hyx	flfl
RhoL	Pvr
raw	Pvr
Set2	Pvr
Wnt5	Pvr
chp	Tm1
hep	Tm1
ftz-f1	Tm1
Pka-C3	Tm1
gbb	Tm1
Jafrac2	Tm1
ninaE	Tm1
Sxl	gl
tow	uzip
brm	N
form3	N
tral	CG17470
CG14995	dec-1
Sema-1b	Hs6st
rdo	asf1
