gene1	gene2
kuz	E2f
zfh1	frc
Pka-C3	pn
tok	wus
CG17739	dpld
cort	pn
CG9445	mus304
form3	N
tutl	cort
B4	wee
Hr46	cactin
toe	Optix
Mmp1	CG17470
MED24	Dok
sn	loco
Sobp	bcd
ninaE	tsh
mbo	osa
vlc	Axn
Lac	Moe
ftz-f1	rux
sec23	E(z)
bcd	nej
Pk61C	cta
Orct	bhr
Set2	emp
tra2	MED4
ine	Idgf4
scyl	Crk
kkv	ash2
l(2)37Cc	mri
eff	gkt
Moe	MED4
cp309	Aph-4
Syx1A	stil
PebIII	hkb
fal	fred
Cyp1	prd
ash1	Dok
rg	Snap
brk	Cct1
brk	Pgant35A
dei	lola
cnk	Eip71CD
Eip63F-1	Sur
CG34417	prod
ecd	exu
Mlc1	Mhc
sno	Dhc64C
brat	dpn
svr	Akt1
pyd	srp
Eip71CD	blow
d	CG34379
tok	betaTub56D
tkv	Aph-4
glu	numb
Rho1	Myo61F
exu	brm
blow	PebIII
Galpha73B	sns
mth	Sin3A
uzip	tow
CycE	alien
sax	cin
Sema-2a	p53
CG18369	Dif
NetB	eIF-4a
Mitf	RhoGAP68F
Chc	Src42A
RhoGAPp190	tow
Mer	Sur
th	Ald
l(2)gl	toe
Rack1	Hem
Atg5	Idgf4
ine	betaTub56D
qm	ksr
lilli	BicD
tub	Jra
Abd-B	dom
Hph	CG6416
ird5	140up
prd	bowl
bt	Jra
Alk	SelD
Khc	bowl
BicD	LIMK1
Mbs	oaf
sar1	caps
NAT1	Src42A
Hr46	Eip63F-1
Hr78	sn
Mlc1	up
ct	chrw
glec	Dhc64C
enok	Mitf
Nrt	Fas3
Eip71CD	Idgf4
ex	cta
t	dib
Psn	Tab2
spn-A	Ef1gamma
rhea	caup
Myo61F	pros
pcm	PhKgamma
mus304	ppan
dome	lwr
bs	Myo31DF
pcm	flw
N	Lim1
gro	Chc
MED11	oaf
ftz-f1	bap
sec23	rad50
CycB	Pop2
Scgdelta	mib1
tra2	eIF-4a
how	Pk61C
ine	cta
xl6	mfas
glec	Dl
boss	scyl
fred	poe
