gene1	gene2
Psn	Ark
Vps28	Cyp1
Lis-1	shn
sav	tub
Ark	ben
dpp	Pk92B
Eip74EF	Krn
eve	mmy
bl	PebIII
cathD	l(2)37Cc
yellow-f	wg
zfh2	flw
rux	Dscam
l(3)mbt	CkIIalpha
Pgant35A	fd59A
bt	Lim1
fal	Arp66B
tow	RhoGAPp190
Sin3A	ftz-f1
Atx2	caps
chp	Mbs
cbt	dlg1
Pi3K92E	dib
sgg	pot
Tm1	neur
sle	tral
Aph-4	poe
Su(var)2-10	mbl
ftz-f1	Chc
Lcp65Ag1	Myo31DF
CG16719	Es2
alien	Eip63F-1
tra	dpn
pnr	Rack1
pros	pnt
wupA	Pvr
Stat92E	ine
eIF-4a	ey
t	CG8149
emb	pnr
vlc	bon
bnl	Ice
rdo	cort
frc	CG8216
ea	cnc
dl	hyx
oaf	morgue
CycE	ine
bib	rux
aft	cher
Apc	baz
CG34417	by
Arc42	zfh2
sina	form3
Chc	dnc
Atx2	SelG
Dl	alien
cher	Syx1A
dj	pdm2
tra2	Sxl
mbl	cact
Syb	ea
ken	cin
foxo	Dat
Moe	Pgant35A
Tina-1	bap
Jra	gro
jagn	Aph-4
Es2	CG34417
nej	CG12301
PebIII	Bap60
rdx	Eip71CD
knrl	Sulf1
cos	Pde8
klar	bs
Appl	p53
p53	ninaE
Tm1	cta
ttk	CG6416
stil	exu
Lis-1	cta
fog	eIF-4a
ix	Bap60
eff	chic
bigmax	Sb
MED24	Crk
Gtp-bp	ap
CG9445	cactin
dib	Chc
dom	sec23
LCBP1	B4
rdx	Eip74EF
CycE	Idgf4
foxo	srp
t	eve
shg	Appl
Ald	trn
t	Sry-delta
Lac	bon
spir	chif
Optix	Eip63F-1
Mmp1	peb
CkIIalpha	fs(1)M3
S6kII	msi
Cks30A	sktl
sw	bib
Jra	bt
wg	opa
vlc	dpn
sec13	Alh
E2f2	blow
Antp	CG34417
beta4GalNAcTA	Tina-1
Mbs	dsf
CG1942	sbb
shn	cnc
rad50	vlc
MYPT-75D	Tm1
MYPT-75D	Ank2
mus304	shrb
CSN4	how
emp	sls
pot	emp
sktl	jumu
fs(1)K10	CycA
by	t
Ef1gamma	cin
Lcp65Ag1	dco
Dys	ksr
Dscam	Mhc
l(2)37Cc	Hem
Ice	CG13850
CG34379	Antp
CadN	uzip
elav	cic
PebIII	eve
sced	Hph
Sulf1	Jra
tou	phyl
Chc	Src42A
neur	cbt
dnc	Galpha73B
Orct	Dredd
gro	tow
CG32486	stumps
mth	l(1)G0289
snf	nmo
dpp	Myo61F
eIF-4E	Galpha73B
wls	Su(z)12
numb	fs(1)K10
yrt	EcR
Dp	dl
prd	Cyp1
esc	ine
RpL30	caps
Myo31DF	cp309
ben	pdm2
dl	sec23
Sobp	bs
CycA	CG16719
sav	Hr78
ine	CG3987
ry	par-1
Trl	pyd
Vhl	Tl
par-1	brat
emb	esg
chic	CG3829
Eip63F-1	Borr
dos	pn
ct	dl
Mitf	rux
Ef1gamma	caps
wee	sec23
RhoGAPp190	Akt1
lva	Pgant35A
mam	ap
Ca-alpha1D	sle
