gene1	gene2
Fas3	wal
numb	Psn
kuz	E2f
wupA	Atg6
Idgf2	elav
tow	peb
th	Arc42
zfh1	frc
twf	Abd-B
Pka-C3	pn
Galpha73B	chico
Atpalpha	RhoGAPp190
Sulf1	Glycogenin
Dat	Bap60
CG9104	Dl
rib	odd
mam	ksr
Rab5	twi
betaTub56D	Caf1
Tina-1	xmas-2
Dat	tll
Myo31DF	p53
ash1	aft
stumps	Mkp3
RpL30	tral
uzip	eIF-4E
CG6416	btl
Rpd3	MYPT-75D
eff	Chc
rux	ea
glu	CycE
brat	Dok
ftz-f1	ftz-f1
tok	wus
cbt	tll
Alk	bl
CG17739	dpld
CtBP	Rpd3
cort	pn
Ald	Mhc
loco	wal
PebIII	hdc
CG9445	mus304
morgue	Myo31DF
gro	Jra
stg	kis
ix	nmo
form3	N
CG17739	chic
msk	l(3)mbt
eg	Rheb
Myo61F	CG33205
Arc42	hyd
dah	Lis-1
Ptpmeg	up
Cyt-c-d	rad50
Src64B	Pi3K92E
spin	BicD
Ice	cher
wus	puc
spn-A	dpld
Abl	bigmax
Pk61C	Mmp2
MED11	poe
l(2)gd1	18w
tutl	cort
cort	CG18369
CG6416	her
B4	wee
rdo	Su(var)2-10
by	CG34417
Hr46	cactin
ssh	CG6416
EcR	dl
toe	Optix
Pen	prd
spn-A	Borr
Msp-300	Idgf1
MED11	CtBP
dom	l(3)mbt
CG34379	robo
dnc	Pop2
Dap160	Pk92B
18w	Mitf
kay	Dl
tsh	Jafrac2
Mmp1	CG17470
Mmp2	emp
alph	CG9445
yrt	Jra
siz	eIF-4a
bon	E(z)
wee	alph
Dok	jing
bun	klar
Not1	grp
rux	Aph-4
car	Ddx1
cos	osa
CycE	pbl
CG32486	CG9520
Cks30A	ey
CG34417	by
fal	bigmax
dei	mbt
Mmp1	ImpE3
crol	ap
dup	Nrt
Msp-300	Ptpmeg
cnc	shn
tum	esc
Su(var)2-10	Ddx1
MED24	Dok
sn	loco
CG1244	pio
pnt	Mmp2
Hr78	qm
Sobp	bcd
Not1	Mlc1
Idgf1	how
eg	Dys
yrt	chrw
rdo	CG16719
neur	Dat
Nf1	alpha-Spec
ninaE	tsh
PebIII	Bap60
inv	spen
Rab7	mbt
emb	enok
dpp	pros
Stat92E	up
mbl	sec23
dup	Dok
chp	raw
E(z)	glu
Dok	Idgf5
flfl	Orct
rhea	Nf1
ImpE3	Sb
mbo	osa
Pvf1	ben
elav	disco
vlc	Axn
msn	CG33205
Jafrac2	Atpalpha
sqd	ssh
Lac	Moe
bt	18w
spn-A	ine
ftz-f1	rux
CG12896	bnb
Trl	Hr46
run	dah
CG17739	tsh
LanA	sll
Tl	scyl
CG9509	dpn
tkv	Idgf2
asf1	CG9104
mbt	capu
flfl	Dat
stil	emp
par-6	Hs2st
Rho1	Hr78
dsf	Moe
dco	Lcp65Ag1
v	Psn
sec23	E(z)
boss	cic
hpo	hpo
CG33205	pdm2
MED4	Sh
Arc42	emb
Sry-delta	CG34417
bs	par-1
Cp1	dup
140up	CG9445
ben	CSN4
twi	Dcp-1
hyd	brat
jumu	sktl
cp309	cher
bcd	nej
Pk61C	cta
Hmgs	pbl
Orct	bhr
sktl	Cka
bib	Dok
sbb	kay
dup	t
Abd-B	Lcp65Ag1
Myo31DF	morgue
ksr	Moe
Pvr	Set2
Set2	emp
Pk92B	Aph-4
CG9445	vap
pio	ytr
Pka-C3	NetB
dpld	Pcaf
l(2)37Cc	S6kII
pdm2	Tina-1
l(2)efl	zfh1
pnt	dpp
EcR	yrt
chp	chp
tra2	MED4
wus	Fmr1
ine	Idgf4
prd	MED4
LanB2	klar
scyl	e
slam	bcd
sav	CG3075
scyl	Crk
sec23	cactin
kkv	ash2
l(2)37Cc	mri
fs(1)K10	stg
esg	emp
Aph-4	fru
fw	tud
tin	Idgf4
aft	Dredd
Appl	Atpalpha
E2f	up
eff	gkt
Moe	MED4
Pi3K92E	Rca1
Dl	CG16719
jumu	Sur
E2f	cg
Sobp	E2f2
sgl	Ca-alpha1D
EcR	hyx
Ice	Psn
B4	brat
run	stumps
CG34417	pn
CG1244	Arc-p34
mth	Atg5
tral	l(2)37Cc
bib	noc
cp309	Aph-4
Syx1A	stil
