gene1	gene2
trio	Su(z)12
pbl	emp
cactin	emp
sec23	emp
cos	emp
kuk	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
CG10641	Rab5
mmy	Rab5
twi	Rab5
eve	Rab5
Hr78	Rab5
cathD	Rab7
RhoGAPp190	Rab7
tow	Rab7
Uba1	Mmp2
rg	Mmp2
mth	Mmp2
Sh	Mmp2
tou	Mmp2
bap	W
chrw	W
Khc	bowl
sdt	bowl
Patj	bowl
Fas3	bowl
Moe	fd59A
tral	e
jagn	e
spn-A	rdo
Borr	rdo
CycE	rdo
esc	rdo
alien	rdo
CycA	rdo
puc	tra2
by	tra2
sgg	tra2
Rab7	cathD
RhoGAPp190	cathD
18w	d
cactin	pbl
tum	pbl
alph	pbl
mbo	pbl
wee	pbl
osa	pbl
eff	pbl
wls	CG33205
par-6	CG33205
rdo	da
hpo	da
tok	da
spn-A	da
Borr	da
CG16719	da
glu	da
CycE	da
esc	da
alien	da
Dl	da
Stat92E	da
CycA	da
Eip63F-1	da
E(z)	da
Caf1	da
dmt	da
thr	da
asf1	da
emp	cactin
pbl	cactin
Su(H)	cactin
tum	cactin
alph	cactin
mbo	cactin
wee	cactin
osa	cactin
eff	cactin
rdo	hpo
da	hpo
tok	hpo
spn-A	hpo
Borr	hpo
CG16719	hpo
bon	hpo
cin	hpo
Mer	hpo
glu	hpo
CycE	hpo
esc	hpo
alien	hpo
Dl	hpo
Stat92E	hpo
CycA	hpo
Eip63F-1	hpo
E(z)	hpo
Caf1	hpo
dmt	hpo
thr	hpo
asf1	hpo
snf	Sema-2a
sns	Eip74EF
wus	eg
ecd	eg
Moe	eg
Mitf	eg
sav	Arc42
pnut	Arc42
peb	Arc42
rdx	Arc42
Cip4	Arc42
Dlic2	toy
dco	toy
exu	toy
tutl	toy
Ef1gamma	Galpha73B
Rho1	Galpha73B
ird5	Galpha73B
eff	Galpha73B
Rab7	RhoGAPp190
cathD	RhoGAPp190
Abl	BicD
rux	BicD
bigmax	BicD
spin	BicD
dj	BicD
Su(var)2-10	MYPT-75D
CycB	MYPT-75D
Pcaf	MYPT-75D
xl6	MYPT-75D
CtBP	MYPT-75D
kuk	MYPT-75D
sls	MYPT-75D
Rpd3	MYPT-75D
dpld	MYPT-75D
dom	MYPT-75D
Apc	MYPT-75D
l(3)mbt	MYPT-75D
tld	MYPT-75D
Dad	mus304
lic	mus304
slam	mus304
E(z)	tok
Caf1	tok
dmt	tok
thr	tok
asf1	tok
lva	ttk
wal	ttk
Sin3A	ttk
crol	ttk
Cks30A	ttk
tral	tamo
Chi	tamo
fw	tamo
E(bx)	CG6416
nmo	CG6416
Dp	flfl
CG12301	flfl
fs(1)K10	flfl
amx	flfl
drm	flfl
CG1244	flfl
Taf4	flfl
dl	flfl
numb	flfl
Rca1	flfl
hyx	flfl
pcm	flfl
Arc-p34	flfl
RhoL	Pvr
raw	Pvr
Set2	Pvr
Wnt5	Pvr
