gene1	gene2
Psn	Ark
Lis-1	shn
dah	sqd
spin	dj
Nf1	slam
rdx	LCBP1
Dhc64C	Galpha73B
flw	d
numb	sina
l(3)mbt	pn
bowl	sdt
Abd-B	fs(2)ltoPP43
Pop2	Hem
mri	CG9520
N	Cka
Eip74EF	wal
kuk	Su(var)2-10
Nrx-IV	fru
Myo31DF	Iswi
asf1	alien
Rca1	fs(1)K10
wrapper	Tina-1
vap	Idgf5
lmd	lic
bun	Scgdelta
Ald	18w
esg	Arc42
Dscam	rux
hdc	SelD
Rbp9	CG12896
fred	wus
Ddx1	par-6
FKBP59	opa
dsx	Idgf1
gro	lva
Cp1	ofs
bon	ine
dsx	Mtl
Oseg1	mth
sec13	sn
drk	flw
Abd-B	l(3)mbt
Nrt	CG14995
rdo	CycE
CG32082	mfas
tra2	puc
ct	par-6
xmas-2	capu
twi	Pvr
spen	dco
bt	Sb
Eip63E	wal
knrl	Jafrac2
Dap160	prd
fs(1)K10	sll
rad50	Nf1
Dat	dl
Mmp1	cathD
Mitf	Apc
sktl	Cks30A
PebIII	cta
CG12301	CG34417
Snap	chinmo
CG34417	gkt
CG12301	MYPT-75D
Cyt-c-d	LanB1
Hem	toe
Chc	gro
CG17221	Fmr1
trio	l(2)37Cc
dnc	CG12301
drk	sll
Khc	bowl
CG9445	eff
Fmr1	cathD
MYPT-75D	sls
Sb	Gtp-bp
snf	Pvf1
emp	peb
CkIIalpha	dib
siz	Mef2
Dcp-1	slam
Iswi	dpld
Tak1	poe
prd	trc
dock	Pk92B
ics	ash1
Hr46	mbo
scrib	beta4GalNAcTA
Ice	amx
rdo	ine
Rab7	tow
Ca-alpha1D	chif
Rheb	stil
Jafrac2	tutl
emb	CG4500
inaC	inaC
car	tld
sas	Snap
Atpalpha	FKBP59
jumu	esc
Chc	Nf1
E(bx)	ry
Idgf2	Vhl
G-salpha60A	Tab2
Snap	trc
spn-A	jumu
pcm	NetB
trio	d
Jra	tra
Dredd	wrapper
Jafrac2	kkv
dpn	Dap160
CdsA	ash1
rux	ftz-f1
morgue	Rho1
car	dpld
inv	scyl
dl	Borr
shrb	Sb
qm	RhoGAPp190
mth	Hs2st
shrb	btl
Dhc64C	cbt
mbl	mri
ninaE	Eip63E
Su(var)2-10	sina
cin	CG34379
ap	crc
bap	ftz-f1
Khc	svr
SelD	ytr
ap	Nf1
tutl	l(3)mbt
fl(2)d	E2f
zfh2	shrb
Mkp3	Eip74EF
Hem	dsf
mmy	cbt
Eip71CD	msk
disco	FKBP59
Lim1	Atg5
Ggamma1	ea
Patj	fred
ine	dmt
Akt1	Rack1
Dcp-1	ix
Dhc64C	CG34417
Rbp9	noc
par-6	ine
car	Pcaf
loco	18w
bon	Caf1
ena	E2f
sina	CtBP
Akt1	noc
dl	mbl
CG6416	CG9509
shot	emc
Ef1gamma	CycE
E(z)	dpld
EcR	Idgf5
Cks30A	Lis-1
sns	frc
peb	stil
Ald	ash1
Not1	CG9445
glu	betaTub56D
mask	ksr
CG9445	puc
cnc	Tak1
Mitf	mask
cin	thr
ttk	ALiX
Idgf2	drm
Oseg1	Syx1A
pyd	wal
Pak	dnc
dl	fal
Caf1	sktl
twi	cbt
eff	Fas3
odd	Mitf
emb	loco
Prm	Mer
Mlc1	CG3987
E2f2	her
th	abd-A
qua	ftz-f1
wls	dome
cnc	RpL30
FKBP59	cas
E2f	e
dmt	pot
CadN	Mmp2
dom	Su(var)2-10
Mitf	Ark
Dat	tok
fw	Crk
CG17739	kkv
mri	Rab7
E(z)	Borr
Idgf4	bs
zfh2	tsh
betaTub56D	ImpE3
RhoGAPp190	Ddx1
Lac	Mitf
dup	svr
bs	noc
mbo	cnk
Pak	chinmo
wls	ssh
Sxl	Idgf4
gkt	dup
G-ialpha65A	svr
dpn	Patj
rux	tow
kay	cher
eIF-4E	Lar
nej	pdm2
Sxl	fw
Atg5	CSN4
SelG	bap
FKBP59	foxo
