Lcp65Ag1	bt
CG8149	Arp66B
bigmax	knrl
l(2)gd1	lic
gkt	svr
wls	mus304
nej	CG16719
CkIIalpha	rdo
alph	cactin
bcd	SelG
cactin	cbt
Src64B	Traf6
stumps	svr
l(2)37Cc	Ca-alpha1D
wls	par-6
Ank2	sll
Jra	CG4945
trn	rib
sec13	Gtp-bp
msi	Cip4
Appl	18w
cactin	Hmgs
run	dpld
cort	l(3)mbt
CG34450	RpL30
betaTub56D	rdo
emb	odd
shn	Tina-1
MED11	kuk
hyx	Dif
Arc42	Tl
CG18369	mus304
tud	Chi
alien	jumu
cbt	Antp
CSN4	dlg1
Pk61C	Atpalpha
Mtl	sn
l(2)efl	Myo61F
CG16719	ine
Cka	cg
e	scyl
Hem	Vhl
Rack1	LanB1
LIMK1	G-salpha60A
Abd-B	Pcaf
Lim1	crol
Ef1gamma	esc
yrt	Ark
CG9520	Antp
cp309	CG32486
Alk	Arc-p34
fs(1)M3	Tm1
toe	Nrx-IV
W	glec
Psn	Myo61F
sgg	Dad
CG1942	Atg5
spn-A	dl
elav	S6kII
CycB	dom
CG16719	hpo
baz	CG4500
eya	dei
Hph	ine
CG1942	Pvf1
ird5	Mbs
Idgf5	loco
ssh	Alh
cta	kis
eg	Ggamma1
dmt	ine
Mtl	jar
spin	dsf
wrapper	CG10641
sty	Dif
bowl	sar1
Appl	Hs2st
Atg5	crol
shn	Idgf2
lmd	baz
sktl	Atg6
srp	wal
dlg1	Trl
CG17739	tutl
nej	LanA
Gtp-bp	hyd
ppan	mus304
Mer	l(2)efl
Trl	Idgf2
Appl	Oseg1
cic	Cip4
Tm1	e
betaTub56D	Ca-alpha1D
Sema-2a	e
Orct	Axn
Atg5	aft
Tab2	Su(z)12
Appl	spen
NetB	drk
Tab2	vap
spn-A	hpo
CG6416	ix
Rack1	CG12896
Set2	pav
mus304	l(2)efl
Rab7	cin
Hmgs	ex
Tab2	fog
Mlc1	ash1
da	Borr
S6kII	pnut
hdc	Idgf5
sqd	dl
Dif	dlg1
Prm	l(2)gd1
CG16719	Idgf4
Su(z)12	Glycogenin
emc	Rbp9
eya	Cip4
eg	CG9509
Patj	ry
Nrt	Rack1
emb	ksr
CG34379	Ef1gamma
fs(1)M3	Pop2
fru	ken
nej	hpo
wee	rad50
esc	up
Apc	crc
disco	Eip74EF
tra	Sur
mbt	Rab5
p53	Sur
sli	mbt
mbo	sec23
Rbp9	CG4500
dah	CG17739
Dl	asf1
kuk	mfas
RpL30	CG34450
Chi	yellow-f
yrt	Pk92B
gkt	Dscam
par-1	Sur
dmt	Sobp
Rab5	emc
ey	eIF-4a
Galpha73B	eIF-4E
brat	tra
RhoGAPp190	noc
sas	amx
S6kII	trio
osa	eff
Dys	sax
Tm1	ninaE
pros	CG12896
bnl	lin
ex	frc
sqd	lmd
dmt	glu
brat	Sur
acj6	RpL30
neur	Abd-B
v	Sulf1
Eip71CD	msk
dsf	Mbs
elav	sprt
dpld	Su(var)2-10
bl	CG16719
Sulf1	scra
sina	G-oalpha47A
CG6416	E2f2
CG8247	CG3987
cbt	CG34417
Ddx1	knrl
sle	Uba1
yrt	meso18E
foxo	osa
dock	yrt
lilli	CdsA
Jra	NetB
bon	glu
CG12301	Dif
mth	CG3829
ast	CG13850
sw	Cks30A
Tak1	Arp66B
asf1	Idgf4
svr	pnr
Jafrac2	Dredd
CycE	Stat92E
tutl	morgue
sav	rhea
Borr	spn-A
Pen	Uba1
crol	sn
PebIII	hkl
jagn	Akt1
phyl	tow
form3	Arp66B
wee	Cyt-c-d
beta4GalNAcTA	Trl
Rpd3	Abd-B
caup	emb
Ald	gkt
eIF-4a	tra2
phyl	l(2)efl
Sin3A	raw
Optix	Alh
Appl	tup
pelo	sdt
trio	Idgf2
CG9104	dah
dco	lilli
Atg6	LanB1
blow	Idgf1
emp	Mmp2
mib1	Scgdelta
G-ialpha65A	msi
