612	3980
1717	324
3229	2001
1386	1665
2158	2095
1263	484
108	3019
559	3225
1665	2847
2200	1276
351	3402
108	63
2539	3562
2106	2264
2042	2804
3461	53
1363	1318
1410	134
948	3461
3976	715
53	1708
46	784
1001	1311
1410	324
3973	46
1848	1251
2219	1806
322	1262
3188	3733
2916	2861
2833	3178
1262	1534
1972	3562
2106	2862
2001	2518
1991	775
2232	4022
77	3927
1891	3376
855	3681
1474	946
1174	1248
1846	1374
2226	3689
1175	417
1282	410
665	265
611	168
1851	778
4023	3012
1985	3058
2873	2473
2240	217
3891	1175
1103	3409
2238	1083
3561	2969
3934	4023
3376	2354
161	3376
3420	2595
3965	3157
5	3965
2833	2467
3816	3915
1289	1857
2001	2152
1913	1717
875	1262
3028	2981
804	1174
1438	2120
3325	3598
2945	1657
1835	1199
461	815
1721	2057
1957	1224
1847	143
2480	3822
2038	2738
1396	3175
711	402
815	4028
860	559
2201	302
1265	682
3718	3420
2924	3973
3009	1103
1025	484
916	1868
565	161
62	2226
737	2394
1537	2165
1396	2158
3028	3826
3322	2120
2539	484
2415	3231
149	2659
2928	2694
3869	62
989	770
244	875
3480	3440
1388	2382
3973	3848
3683	2592
715	1708
3954	3397
1025	377
2165	4022
1425	1153
3229	693
1276	55
393	3642
1579	3973
2973	2728
3349	2656
2962	1937
3420	2924
784	1806
1425	2038
1891	161
711	1690
699	4026
1812	196
2415	2078
3838	1983
2469	92
1011	210
3178	559
3681	21
302	797
1847	55
1931	2064
461	571
2329	1432
1746	244
510	2635
417	3267
806	324
1539	18
2933	2158
3148	2057
2521	3103
2973	1248
2158	2981
2686	899
1721	815
161	3917
3383	181
1372	2390
395	2613
559	2467
715	3834
1755	2165
2120	3147
3461	442
3593	2987
531	312
22	2354
55	3020
3954	244
1025	3081
1810	410
510	3231
143	1585
1508	2141
3838	474
3973	1375
58	221
403	855
665	1657
174	2973
1891	2878
3019	334
728	1244
3934	2061
3925	3973
3776	136
2238	1600
1276	161
1467	1244
1847	3683
1467	3937
2601	165
3765	3402
4000	1539
2340	717
2297	324
3935	1960
3693	1474
830	181
2394	2480
571	1022
571	2480
3283	565
3409	2738
3210	2906
2928	174
1506	2020
1506	1175
3490	3480
2862	3941
2266	3891
875	2498
1386	806
2467	578
2945	280
3934	3178
2838	2042
3929	1356
3400	1739
1585	2158
3683	2101
2938	1537
764	3201
4025	3420
2238	778
1847	3173
725	1539
510	699
1401	207
3050	3826
181	108
3915	2276
2592	2933
1089	797
2538	1318
1248	806
2973	2659
3224	2406
136	3816
2050	3302
2440	474
2050	168
1251	3749
3801	33
1351	1717
3915	3816
2656	1716
280	62
3689	62
531	1721
1179	3934
2820	3225
837	2165
2861	3058
1803	2645
1011	189
3757	2473
3480	1244
3325	3158
2217	499
2632	842
2933	362
3409	3157
776	842
1603	1772
3028	2803
1375	2240
207	2503
3019	2808
2595	2962
728	3798
463	2064
682	2266
1276	283
62	1513
2382	2382
46	2820
2632	815
3856	2484
217	3891
283	806
2061	3420
3325	1363
38	3683
682	174
3349	611
3626	3976
1983	2992
1957	1857
3033	1263
1396	560
1410	2276
1248	1833
2835	1985
3501	499
1290	3058
3965	244
665	1474
3297	3148
2579	3838
3926	341
1289	1803
3490	58
770	2415
3225	3225
144	1718
2878	1002
3903	419
737	3409
3201	510
1746	210
1134	1857
2858	2858
2945	2307
3765	3159
715	3976
3253	2354
3115	2329
1179	1718
2952	3409
3157	2295
2101	38
2962	3561
345	2873
1383	410
1089	2480
1670	89
715	2525
395	2
1522	2613
2906	1300
1011	1755
367	3103
860	2340
1514	2370
2200	711
2167	1717
1390	1983
1609	244
725	531
2503	3642
1717	1806
220	55
2219	1972
2581	3903
3934	1513
906	2167
11	35
1806	1011
2645	1351
1882	3925
1462	3965
3648	35
463	1716
3355	1388
217	3934
3544	1772
1050	3234
1746	2525
978	324
2714	3980
2295	143
3461	2238
3461	2737
3437	2884
2702	1806
1514	1848
1255	21
1089	1539
2264	3058
717	2748
3376	3420
2579	2981
2933	3033
1374	2958
3480	38
764	2601
3689	1757
2635	2503
3856	1243
1506	3302
3693	665
55	3081
1755	813
2595	3749
3838	1262
1670	2457
2165	2457
770	2015
2804	1455
3745	1174
3955	2613
2945	282
217	1438
2406	2219
1556	484
352	3973
946	3397
55	2930
3816	3349
3789	2095
1690	128
300	3848
3927	149
1268	534
3917	3420
463	770
181	728
612	1030
2987	2015
165	1263
2525	3919
1846	2862
3954	2728
2448	2064
196	2808
3848	2201
2924	2903
611	3765
4026	2461
127	1690
1432	3071
339	2350
2069	1390
3165	1846
1854	3153
341	344
715	1718
2480	3383
2981	77
3989	3733
2858	2484
1931	975
108	3466
2659	1985
1716	2219
2120	2448
1539	2962
3071	1823
1134	1270
1425	2958
3561	2962
302	3201
2848	2276
3402	3103
975	1025
2969	2158
1282	3437
3757	1585
2015	377
2406	3253
476	546
916	1803
665	1721
2354	3224
165	2601
2884	1514
2539	2057
2645	2632
510	3440
3420	2503
1410	3848
1282	3917
2933	3383
3081	2969
2201	1609
1401	149
2738	507
2756	2848
810	505
510	2480
3648	3887
3322	3302
1300	312
2903	3976
2702	2962
2659	1576
2838	2152
118	2983
2888	46
367	743
3880	3973
