2217	1983
3888	244
1311	1617
1717	22
899	2702
2961	2415
2961	3834
3689	312
322	2938
1375	3929
2382	2061
3598	3158
2167	22
2120	1199
3762	3002
2632	1937
149	2378
3562	1657
2861	1506
3929	3437
1002	2167
1872	280
2601	241
18	510
3925	3776
946	318
1847	217
2200	989
3955	2539
1960	463
764	860
282	2226
854	3877
3501	2415
1929	2158
861	3322
3201	1268
3397	3436
670	2240
1585	2581
2788	1972
11	3826
3322	1513
2592	2592
3159	3848
804	560
1401	55
860	3865
1810	92
3606	38
3798	2539
2106	2737
2001	1311
49	2873
410	3159
3383	2480
1954	1812
2498	2238
775	3409
3028	3947
312	3626
3302	351
1506	3153
2484	3188
49	1289
1025	975
1449	22
3115	3028
221	3856
3501	2242
3826	11
2001	1891
210	978
2078	2354
3224	2645
3400	722
3689	2539
1474	743
388	2803
855	2838
388	2748
3693	1812
2350	3955
322	1739
855	402
196	2952
1494	1432
1174	417
855	3297
2635	2967
531	4025
1449	1226
461	3816
1011	2406
1929	1401
882	3414
136	10
2756	1716
2226	2969
2696	1708
1455	3002
2525	1746
2469	1351
1386	3383
1972	3880
611	899
3402	2566
1090	674
2498	1410
1432	2838
341	2493
2833	2015
1375	62
3322	2061
567	1539
127	2354
2862	670
4028	2454
1985	2060
1670	1051
168	3028
1929	62
2467	1931
3869	1803
2448	149
1175	306
10	2779
737	2738
2838	3501
1175	442
2702	560
1199	720
1522	1498
1351	2256
3749	1739
324	978
1585	3903
4026	699
2861	2632
1891	728
4016	1022
1847	3173
1665	1263
1356	3718
2046	1438
344	875
2454	2493
3283	2061
861	2046
1857	1854
2340	574
715	1708
10	3544
2064	1011
2637	3420
670	241
35	1603
2702	699
3024	2967
1823	674
393	3115
3888	2930
2276	3925
3173	3865
1960	3935
3024	143
1410	134
2958	2480
3593	3355
2295	764
3383	62
1318	3648
3561	2595
2165	3148
4016	1577
1806	1372
3938	2820
728	3917
118	510
1718	4025
3825	1030
1179	127
1375	2135
3153	1847
58	2987
722	815
3490	2096
2833	2820
2354	3253
1174	815
1244	317
1372	1868
3755	2242
2329	4025
2307	1083
1051	737
3834	3424
803	571
1363	2480
2937	18
77	3837
891	1851
2861	2390
395	3588
3383	2217
510	3837
2095	3383
3776	2393
2461	1603
2601	2635
2158	3096
2525	1960
2226	2158
2152	3848
3801	345
2973	1248
1001	1708
505	2064
1985	2394
1432	2480
461	92
2878	2295
776	2645
720	1022
3937	682
975	421
2933	612
3201	2393
149	3887
280	3891
842	720
1199	1835
2525	339
3593	2749
4000	797
4000	891
2987	2141
804	3480
1708	1276
842	776
1022	1268
1937	2141
196	2379
882	403
1514	531
717	35
1600	1857
3349	2637
1363	1851
2238	1833
11	3175
3322	1657
1244	3297
1609	1576
410	574
1265	1810
3383	92
3229	3420
1001	1030
2858	1954
2930	3745
