gene1	gene2
cnk	sec23
Abl	nej
Su(H)	sec23
thr	CG16719
osa	Pde8
dpld	neur
Eip63F-1	Borr
hpo	Borr
l(3)mbt	neur
Tm1	neur
Moe	140up
wee	cos
wee	sec23
alph	sec23
Krn	G-ialpha65A
cnk	cos
cin	Borr
chinmo	betaTub56D
blow	CG2678
cbx	CG2678
Caf1	Borr
asf1	CG16719
Rpd3	neur
Btk29A	neur
dmt	CG16719
CG16719	Borr
sina	neur
pot	cos
alph	Pde8
Pgant35A	betaTub56D
th	nej
morgue	tup
tld	neur
Su(H)	cos
robo	cas
Lcp65Ag1	cas
dom	neur
alph	cos
tum	sec23
CG8149	Arp66B
Pcaf	neur
Stat92E	betaTub56D
run	cas
cbt	CG2678
l(2)efl	neur
CG17739	CG17739
MED4	140up
mbo	Pde8
osa	sec23
sqd	dome
Pde8	dome
emp	cos
Akt1	Abi
asf1	Borr
pot	sec23
tok	sec23
Yp1	Yp1
mbo	sec23
Dl	Borr
E(z)	Borr
dsf	140up
ena	140up
dmt	Borr
CG8247	betaTub56D
thr	Borr
pbl	Borr
stil	phyl
Axn	phyl
Tm1	Sry-delta
Traf6	Arp66B
spn-A	Arp66B
ird5	betaTub56D
kuk	neur
osa	cos
Sobp	B4
cactin	B4
mbo	cos
Eip63E	G-ialpha65A
gro	G-ialpha65A
