Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,9,0.6389,23,8,NaN,0.000576836,pot cos Pde8 osa sec23 mbo alph tum Su(H)
2,5,0.6,6,10,NaN,0.0625612,Borr asf1 CG16719 thr dmt
3,7,0.619,13,14,NaN,0.0969118,pot cos sec23 wee tum Su(H) cnk
