tok
rdo
esc
CycE
Borr
E(z)
spn-A
glu
asf1
CycA
CG16719
da
Caf1
thr
dmt
hpo
alien
Arc42
ben
Rab5
e
cactin
kay
fd59A
Tm1
Sema-2a
