Eip63F-1
Stat92E
ine
Mer
spn-A
E(z)
hpo
thr
Caf1
alien
esc
CycE
bon
rdo
ben
Rab5
e
fd59A
neur
CG2678
CG33205
pbl
da
cactin
Tm1
