cin
Dl
Borr
asf1
CycA
dmt
CG16719
thr
esc
CycE
glu
Caf1
hpo
rdo
ben
Rab5
e
fd59A
neur
CG2678
CG33205
pbl
da
cactin
Tm1
Sema-2a
