Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Ras GTPase binding (GO:0017016)	1/92	0.1412456313513112682311856360684032551944255828857421875	0.1765570391891390922278759489927324466407299041748046875	0.281590719707454251174993942186119966208934783935546875	0.351988399634317772335379004289279691874980926513671875	-0.9144491742102766	1.789810070255172	pbl
metal ion binding (GO:0046872)	1/107	0.162359373036492782294004655341268517076969146728515625	0.1959509674578361060337527987940120510756969451904296875	0.31924192247699456626008895909762941300868988037109375	0.385291975403269315592069688136689364910125732421875	-0.9755840434226507	1.7735562300484589	Eip63F-1
ATPase activity, coupled (GO:0042623)	1/107	0.162359373036492782294004655341268517076969146728515625	0.1959509674578361060337527987940120510756969451904296875	0.31924192247699456626008895909762941300868988037109375	0.385291975403269315592069688136689364910125732421875	-0.9722683029402308	1.767528402687539	spn-A
RNA polymerase II regulatory region DNA binding (GO:0001012)	1/127	0.18972942683631199844995762759936042129993438720703125	0.214210643202287720487930755552952177822589874267578125	0.366528458135842172271878780520637519657611846923828125	0.413822452734015355790830881232977844774723052978515625	-0.8974224990936899	1.4916564526024885	Su(H)
protein heterodimerization activity (GO:0046982)	1/113	0.1706631590640501905387083070309017784893512725830078125	0.199107018908058541750705217054928652942180633544921875	0.33376975545024756275580557485227473080158233642578125	0.389398048025288823215106503994320519268512725830078125	-0.8358190213276722	1.4777811001873857	glu
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	1/200	0.28246104530185223158156304634758271276950836181640625	0.3041888180173792921578979076002724468708038330078125	0.51394097591452381212917543962248601019382476806640625	0.55256650406895124749695469290600158274173736572265625	-0.8609069273472894	1.0883711331722228	Su(H)
sequence-specific DNA binding (GO:0043565)	1/197	0.2788617230143355385507675237022340297698974609375	0.3041888180173792921578979076002724468708038330078125	0.50858851208395350340651930309832096099853515625	0.55256650406895124749695469290600158274173736572265625	-0.8133926479675961	1.038734326098866	Su(H)
protein serine/threonine kinase activity (GO:0004674)	1/172	0.2481787186166657388497469582944177091121673583984375	0.275754131796295265388607731438241899013519287109375	0.461748902919134007749590864477795548737049102783203125	0.51305433657681553949458930219407193362712860107421875	-0.7290274980637619	1.015977206840068	hpo
transcription regulatory region sequence-specific DNA binding (GO:0000976)	1/204	0.287233053267001547936843053321354091167449951171875	0.304641117101365266339740855983109213411808013916015625	0.52099127526501121110413805581629276275634765625	0.55256650406895124749695469290600158274173736572265625	-0.8017592232477548	1.00016365138851	Su(H)
zinc ion binding (GO:0008270)	1/211	0.29551011655564118907335569019778631627559661865234375	0.30874191281932661379272531121387146413326263427734375	0.5330955512462607348567189546884037554264068603515625	0.55696550130206345929906319724977947771549224853515625	-0.6449326196830591	0.7862065336096351	bon
transition metal ion binding (GO:0046914)	1/242	0.331058814110200716473997317734756506979465484619140625	0.3358567679378847703475230446201749145984649658203125	0.58328501344612460055572000783286057412624359130859375	0.591738419438097462688119776430539786815643310546875	-0.6911276531778175	0.7640134455638642	bon
ubiquitin-protein transferase activity (GO:0004842)	1/231	0.31864857116088740607295903828344307839870452880859375	0.328020587959737042194063860733876936137676239013671875	0.56609481407130479713174509015516377985477447509765625	0.58274466154399018336107474169693887233734130859375	-0.6452270604085579	0.7379245359893039	bon
RNA binding (GO:0003723)	1/401	0.48773530224774142016741507177357561886310577392578125	0.487735302247741364656263840515748597681522369384765625	0.76973360394501433301428505728836171329021453857421875	0.76973360394501433301428505728836171329021453857421875	-0.6310520463506111	0.4530842840397239	cactin
