1494	3322
2152	3865
3639	3322
2101	3941
2240	2671
2061	1467
2635	3033
2592	3033
3376	1467
108	1467
1972	2987
280	2945
280	3322
1438	3322
3816	3103
1494	2945
1263	3033
531	62
2838	1224
810	1224
3683	3033
2095	3941
3158	1467
3020	1467
3165	3941
3941	3033
693	1467
2307	2945
1438	2671
2748	62
3888	3865
3919	3954
2518	1467
3639	2945
2332	3012
1462	3012
3917	1467
1438	2945
2046	3322
1729	2916
565	1467
1929	62
174	3012
715	1224
2001	1467
2382	2382
3159	2987
670	2671
2240	3322
1388	3593
2671	3593
2737	2945
2566	76
2095	3033
2307	3322
1375	3322
906	906
670	3322
1030	3033
1513	3033
3973	2987
3355	2987
3165	3033
3081	62
2101	3033
217	3033
3856	2906
2581	2906
108	3225
2992	2916
2933	2916
58	62
3325	1467
2240	2945
764	1872
241	1872
670	2945
2521	3103
717	3103
1199	3103
