13515	139	81
8565	497	208
16334	550	81
17316	497	79
10220	438	83
8389	480	79
6553	139	16
9614	575	83
13404	575	207
9790	464	80
6050	25	82
14393	254	79
7654	54	81
10419	448	82
17556	428	19
8488	438	15
17778	392	147
18359	168	206
17944	26	83
6250	584	83
15110	552	212
8031	80	82
7691	448	79
14092	563	19
13784	141	141
12586	464	82
11699	516	83
3161	464	208
6961	516	207
15832	95	142
15259	22	82
11228	527	83
10551	415	83
18213	408	3
17775	410	83
18361	337	15
15756	368	146
5306	480	82
8255	8	19
1216	254	208
13528	448	208
14819	339	15
11793	473	83
18345	527	178
18270	318	212
18478	138	79
1962	82	208
2784	584	178
15462	262	155
16548	208	82
14916	549	84
2445	52	154
8555	527	15
18432	68	114
18472	52	141
6650	575	178
4858	550	16
18344	549	29
15006	487	3
15749	184	155
15209	364	18
10411	42	83
15338	404	79
10256	507	83
6556	154	154
18396	494	153
1817	575	15
11009	79	208
13428	136	91
14130	326	18
18145	234	183
17519	190	18
10349	33	19
16473	226	84
17003	464	79
2943	95	17
17299	135	114
11890	270	147
9933	497	82
17425	507	207
10630	64	83
16467	116	84
11067	404	82
17639	104	90
4167	404	208
13946	372	15
17769	119	146
15739	180	147
9615	330	209
17468	448	80
12679	516	15
8368	584	15
13388	357	90
16363	340	92
5392	38	155
18353	25	208
4570	130	17
8171	254	82
16921	507	15
4286	208	79
1923	2	82
17250	426	183
