Pop2	CG8149
LanB1	CG34379
run	CG34379
Tm1	CG34379
Yp1	Yp1
Lcp65Ag1	Yp1
cbx	yrt
morgue	tup
gro	G-ialpha65A
Krn	G-ialpha65A
gl	G-ialpha65A
Eip63E	G-ialpha65A
fog	G-ialpha65A
CdsA	G-ialpha65A
CG4500	knrl
prd	knrl
Axn	knrl
stil	phyl
Tm1	phyl
CG17739	CG17739
mus304	CG17739
scrib	B4
Sobp	B4
l(2)gd1	B4
tub	B4
Pk61C	CG2681
Rab7	CG2681
cathD	tow
uzip	tow
Jra	tow
tll	hkl
beta4GalNAcTA	hkl
ytr	hkl
neur	hkl
ben	sina
Su(var)2-10	sina
CycB	sina
sle	sina
Pcaf	sina
chif	sina
CtBP	sina
kuk	sina
Ddx1	l(2)efl
car	l(2)efl
xl6	l(2)efl
CtBP	l(2)efl
kuk	l(2)efl
fs(2)ltoPP43	l(2)efl
Rpd3	l(2)efl
dpld	l(2)efl
dom	l(2)efl
l(3)mbt	l(2)efl
tld	l(2)efl
tral	l(2)efl
santa-maria	cnc
ofs	cnc
ea	cnc
CG34450	cnc
Crk	cnc
CG6372	cnc
CG17470	cnc
spir	cnc
Sb	Atg5
G-oalpha47A	Atg5
ey	Atg5
Pak	Atg5
LanA	Atg5
CSN4	Atg5
CG1942	Atg5
Dcp-1	Atg5
drk	Atg5
caup	Atg5
NetB	Atg5
dmt	CG16719
thr	CG16719
asf1	CG16719
p53	CadN
Tak1	CadN
enok	klar
tkv	klar
Mef2	klar
sdt	Rack1
mth	Rack1
wrapper	Rack1
pio	Tina-1
Dredd	Tina-1
da	Tina-1
hpo	bon
spn-A	bon
Borr	bon
Ef1gamma	bon
Mer	bon
glu	bon
CycE	bon
esc	bon
alien	bon
E(z)	bon
Caf1	bon
dmt	bon
Pgant35A	bon
thr	bon
asf1	bon
pbl	bon
cactin	pot
sec23	pot
cos	pot
Su(H)	pot
tum	pot
alph	pot
mbo	pot
osa	pot
Eip74EF	pot
l(1)G0289	chic
Sb	chic
shot	chic
wal	chic
Nf1	chic
Hmgs	chic
sas	Hem
toe	Hem
sle	Hem
how	S6kII
msi	S6kII
sced	CG2678
enok	crc
exu	pros
trn	pros
CG12896	pros
MYPT-75D	neur
Su(var)2-10	neur
CycB	neur
sina	neur
fs(2)ltoPP43	neur
Rpd3	neur
dpld	neur
dom	neur
l(3)mbt	neur
tld	neur
tin	neur
CG10641	Rab5
mmy	Rab5
twi	Rab5
eve	Rab5
Hr78	Rab5
cathD	Rab7
RhoGAPp190	Rab7
tow	Rab7
Vhl	Mmp2
rad50	Mmp2
Uba1	Mmp2
tou	Mmp2
bap	W
LIMK1	W
Mitf	eg
sav	Arc42
pnut	Arc42
Cip4	Arc42
Dlic2	toy
dco	toy
exu	toy
tutl	toy
Ef1gamma	Galpha73B
Rho1	Galpha73B
ird5	Galpha73B
eff	Galpha73B
Rab7	Galpha73B
cathD	RhoGAPp190
CkIIalpha	sll
osa	Pde8
tum	cnk
sprt	CG34379
Glycogenin	sina
xl6	sina
lilli	CadN
ics	CadN
abd-A	crc
tub	cathD
Orct	cathD
peb	cathD
Pcaf	MYPT-75D
xl6	MYPT-75D
CtBP	MYPT-75D
kuk	MYPT-75D
sls	MYPT-75D
Rpd3	MYPT-75D
dpld	MYPT-75D
dom	MYPT-75D
Apc	MYPT-75D
l(3)mbt	MYPT-75D
tld	MYPT-75D
B4	mus304
Dad	mus304
lic	mus304
slam	mus304
fred	CdsA
knrl	CdsA
Rheb	CdsA
eIF-4E	CdsA
ecd	CdsA
wal	ttk
oaf	ttk
CSN4	ttk
Sin3A	ttk
eve	ttk
crol	ttk
Cks30A	ttk
Chi	tamo
fw	tamo
ix	CG6416
hkb	CG6416
E(bx)	CG6416
nmo	CG6416
Bap60	CG6416
E2f2	CG6416
her	CG6416
Dp	flfl
CG12301	flfl
fs(1)K10	flfl
amx	flfl
drm	flfl
CG1244	flfl
Taf4	flfl
dl	flfl
numb	flfl
Rca1	flfl
hyx	flfl
pcm	flfl
Arc-p34	flfl
lva	flfl
wupA	Pvr
RhoL	Pvr
raw	Pvr
Set2	Pvr
Wnt5	Pvr
CG1942	Pvr
pav	Pvr
trio	kay
tll	Jra
hkl	Jra
hkl	tll
run	srp
jar	srp
dec-1	srp
Arp66B	Btk29A
shg	Btk29A
Pop2	Btk29A
CdsA	Btk29A
CG8149	Mmp1
sec13	Mmp1
dock	msn
N	msn
dome	ena
sqd	ena
d4	ena
wls	ena
ssh	ena
par-6	ena
lwr	ena
Myo61F	ena
MED11	ena
inv	spen
ecd	knrl
CG17221	Rack1
esg	Rack1
eve	Rack1
brat	tra
bcd	nej
pdm2	nej
Pvf1	nej
pbl	nej
cactin	cnk
Hmgs	cnk
sec23	cnk
Rbp9	yrt
brat	yrt
bt	yrt
W	yrt
scra	bap
LIMK1	bap
chrw	bap
dec-1	bap
sqd	bap
d4	tud
bhr	tud
lwr	tud
CG9104	tud
Taf4	ct
pcm	ct
msk	ct
tsh	tup
CycA	bon
Eip74EF	bon
ttk	wal
chic	wal
CG1942	wal
shn	wal
Idgf4	wal
CG33205	wal
ena	wls
Bap60	E(bx)
Idgf5	E(bx)
E2f2	E(bx)
her	E(bx)
shrb	Dad
lic	Dad
Rca1	amx
CG9769	amx
Rbp9	amx
hyx	amx
Arc-p34	amx
CG18369	amx
mbl	CG34417
cort	CG34417
Pen	CG34417
dos	CG34417
bap	CG34417
Ggamma1	scra
chrw	scra
ry	scra
Patj	dsd
hyd	dsd
Sema-2a	dsd
jing	Ephrin
wls	Ephrin
par-6	Appl
crc	Appl
LIMK1	sty
elav	sty
enok	sty
Pvr	sty
wupA	RhoL
raw	RhoL
Set2	RhoL
Wnt5	RhoL
dlg1	RhoL
Cyp1	twi
xmas-2	twi
dsf	twi
CG10641	twi
eve	twi
Hr78	twi
sced	twi
CG13850	twi
cathD	twi
B4	tub
Sobp	tub
rhea	tub
sar1	tub
eve	tub
Cip4	tub
slam	tub
Tm1	tub
ftz-f1	ftz-f1
siz	ftz-f1
emb	wg
bnb	wg
Wnt5	LanA
Dcp-1	LanA
bcd	LanA
Pk92B	LanA
dnc	LanB2
th	LanB2
fru	LanB2
Pvf1	LanB2
tamo	LanB2
CG9509	Chi
E(bx)	nmo
Bap60	nmo
Cct1	Chc
cathD	Chc
kis	vlc
brat	vlc
shot	vlc
chic	Nf1
ap	Nf1
slam	Nf1
Galpha73B	Nf1
Ef1gamma	Rho1
ird5	Rho1
Syx1A	Rho1
eff	Rho1
neur	Rho1
MYPT-75D	kuk
Su(var)2-10	kuk
CycB	kuk
sina	kuk
Rpd3	kuk
dpld	kuk
dom	kuk
l(3)mbt	kuk
tld	kuk
asf1	CycE
betaTub56D	CycE
Lim1	CG8247
ird5	CG8247
Stat92E	CG8247
bon	CG8247
cin	CycA
Eip63F-1	CycA
E(z)	CycA
Caf1	CycA
dmt	CycA
thr	CycA
asf1	CycA
W	CycA
nej	LIMK1
Es2	LIMK1
bap	LIMK1
Scgdelta	LIMK1
sty	LIMK1
zfh2	LIMK1
p53	LIMK1
enok	LIMK1
chrw	LIMK1
flfl	LIMK1
Dp	Rca1
CG12301	Rca1
fs(1)K10	Rca1
amx	Rca1
drm	Rca1
CG1244	Rca1
Taf4	Rca1
dl	Rca1
numb	Rca1
hyx	Rca1
pcm	Rca1
Arc-p34	Rca1
Dif	Rca1
dsd	Rca1
dup	pelo
sn	shg
sty	shg
dnc	enok
MYPT-75D	enok
Su(var)2-10	dom
CycB	dom
sina	dom
Ptpmeg	dom
hdc	kuz
fl(2)d	kuz
Tl	kuz
emp	kuz
pbl	mbo
cactin	mbo
Cyt-c-d	mbo
sec23	mbo
Pde8	mbo
cos	mbo
cnk	mbo
pot	mbo
Su(H)	mbo
tum	mbo
alph	mbo
wee	mbo
osa	mbo
eff	mbo
CG33205	mbo
ena	par-6
Appl	par-6
caps	par-6
Tl	CG9769
yrt	CG9769
amx	Rbp9
sgg	Rbp9
brat	Rbp9
flfl	Rbp9
Dp	hyx
CG12301	hyx
fs(1)K10	hyx
amx	hyx
drm	hyx
CG1244	hyx
Taf4	hyx
dl	hyx
numb	hyx
Rca1	hyx
pcm	hyx
Arc-p34	hyx
Dif	hyx
CG2678	hyx
MED24	sced
capu	sced
twi	sced
sina	sced
Ddx1	Dscam
da	Dscam
hpo	Eip63F-1
spn-A	Eip63F-1
Borr	Eip63F-1
CycA	Eip63F-1
E(z)	Eip63F-1
Caf1	Eip63F-1
dmt	Eip63F-1
thr	Eip63F-1
asf1	Eip63F-1
mus304	Eip63F-1
l(1)G0289	lic
cin	lic
Dad	lic
Tak1	lic
Su(z)12	lic
E(bx)	Idgf5
tin	Mbs
noc	Mbs
dome	opa
sqd	lwr
tud	lwr
d4	lwr
bhr	lwr
pbl	lwr
cactin	wee
sec23	wee
cos	wee
alph	wee
mbo	wee
osa	wee
Hr46	wee
ttk	wee
Oseg1	Cks30A
hkl	Cks30A
pyd	ytr
CG2678	ytr
betaTub56D	blow
bon	chinmo
CG6416	chinmo
ix	E2f2
hkb	E2f2
ken	E2f2
chinmo	Pgant35A
CG18369	Pgant35A
mbl	Pen
mri	Pen
CG34417	Pen
gkt	Pen
kkv	Pen
LCBP1	Pen
neur	Pen
MYPT-75D	tld
Su(var)2-10	tld
CycB	tld
sina	tld
kuk	tld
Rpd3	tld
dpld	tld
dom	tld
l(3)mbt	tld
Sema-2a	tld
Mmp1	Tl
jing	Tl
kuz	Tl
CG9769	Tl
rux	Tl
klar	tkv
oaf	tkv
dnc	tkv
Lac	tkv
knrl	CG4500
emb	CG4500
qkr58E-3	CG4500
cact	CG8216
mask	CG8216
hkb	CG8216
eg	snf
CdsA	ecd
fred	ecd
knrl	ecd
Rheb	ecd
eIF-4E	ecd
Atpalpha	ecd
l(2)37Cc	ecd
Taf4	ecd
v	EcR
pcm	EcR
CG18369	EcR
mbl	LCBP1
mri	LCBP1
CG34417	LCBP1
gkt	LCBP1
pn	LCBP1
dah	LCBP1
ash2	LCBP1
kkv	LCBP1
cort	LCBP1
Pen	LCBP1
dos	LCBP1
CG32486	LCBP1
140up	Antp
bib	Moe
MED4	Moe
Mmp1	Moe
Arp66B	Traf6
CG8149	Traf6
sec13	Traf6
Mtl	Traf6
t	Traf6
