Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,9,0.6111,22.00,7.000,NaN,0.000757457,"cos pot Pde8 osa sec23 mbo alph tum Su(H)"
2,6,0.6000,9.000,16.00,NaN,0.168676,"Borr asf1 CG16719 rdo thr dmt"
