Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,3,0.6667,2.000,0.000,NaN,0.0296732,"tup crc abd-A"
2,3,0.6667,2.000,0.000,NaN,0.0296732,"Hs6st pros tkv"
3,3,0.6667,2.000,0.000,NaN,0.0296732,"Dat Su(var)2-10 neur"
4,3,0.6667,2.000,0.000,NaN,0.0296732,"CadN Mmp2 tow"
5,3,0.6667,2.000,0.000,NaN,0.0296732,"flw d Dap160"
6,3,0.6667,2.000,0.000,NaN,0.0296732,"Sry-delta Jra yrt"
7,3,0.6667,2.000,0.000,NaN,0.0296732,"rdo spir ken"
8,3,0.6667,2.000,1.000,NaN,0.0786496,"sav emp CG9520"
