Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,6,0.8667,13,14,0.481,0.0833287,sec23 cos Su(H) pot tum osa
2,4,0.8333,5,13,0.278,0.147203,Borr dmt CG16719 asf1
