SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
281,1.90909091,0,0.52380952,0,1,2,FALSE,Caf1,11,1,0,0,0.54545455,FALSE,0,Caf1,0,0
285,1.90909091,0,0.52380952,0,1,2,FALSE,thr,11,1,0,0,0.54545455,FALSE,0,thr,0,0
287,1.90909091,0,0.52380952,0,1,2,FALSE,asf1,11,1,0,0,0.54545455,FALSE,0,asf1,0,0
289,1.66666667,0,0.6,0,1,2,FALSE,MED4,3,1,0,0,0.66666667,FALSE,0,MED4,0,0
292,1.66666667,0,0.6,0,1,2,FALSE,dsf,3,1,0,0,0.66666667,FALSE,0,dsf,0,0
294,1.66666667,0,0.6,0,1,2,FALSE,Moe,3,1,0,0,0.66666667,FALSE,0,Moe,0,0
296,1.5,0,0.66666667,0,1,2,FALSE,robo,2,1,0,0,0.75,FALSE,0,robo,0,0
299,1.5,0,0.66666667,0,1,2,FALSE,run,2,1,0,0,0.75,FALSE,0,run,0,0
301,1,0,1,0,1,1,FALSE,Akt1,1,1,0,0,1,FALSE,0,Akt1,0,0
302,1,0,1,0,1,1,FALSE,Abi,1,1,0,0,1,FALSE,0,Abi,0,0
304,1.8,0,0.55555556,0,1,2,FALSE,CG8247,5,1,0,0,0.6,FALSE,0,CG8247,0,0
307,1.8,0,0.55555556,0,1,2,FALSE,ird5,5,1,0,0,0.6,FALSE,0,ird5,0,0
309,1.8,0,0.55555556,0,1,2,FALSE,Stat92E,5,1,0,0,0.6,FALSE,0,Stat92E,0,0
311,1.8,0,0.55555556,0,1,2,FALSE,chinmo,5,1,0,0,0.6,FALSE,0,chinmo,0,0
313,1.8,0,0.55555556,0,1,2,FALSE,Pgant35A,5,1,0,0,0.6,FALSE,0,Pgant35A,0,0
315,1.66666667,0,0.6,0,1,2,FALSE,Abl,3,1,0,0,0.66666667,FALSE,0,Abl,0,0
318,1.66666667,0,0.6,0,1,2,FALSE,th,3,1,0,0,0.66666667,FALSE,0,th,0,0
320,1.66666667,0,0.6,0,1,2,FALSE,ena,3,1,0,0,0.66666667,FALSE,0,ena,0,0
322,2.5,0,0.4,0,1,4,FALSE,sqd,2,1,0,0,0.625,FALSE,0,sqd,0,0
329,1,0,1,0,1,1,FALSE,Lcp65Ag1,1,1,0,0,1,FALSE,0,Lcp65Ag1,0,0
331,1,0,1,0,1,1,FALSE,cbx,1,1,0,0,1,FALSE,0,cbx,0,0
332,1,0,1,0,1,1,FALSE,yrt,1,1,0,0,1,FALSE,0,yrt,0,0
334,1,0,1,0,1,1,FALSE,morgue,1,1,0,0,1,FALSE,0,morgue,0,0
335,1,0,1,0,1,1,FALSE,tup,1,1,0,0,1,FALSE,0,tup,0,0
337,1.75,0,0.57142857,0,1,2,FALSE,gro,4,1,0,0,0.625,FALSE,0,gro,0,0
340,1.75,0,0.57142857,0,1,2,FALSE,Krn,4,1,0,0,0.625,FALSE,0,Krn,0,0
342,1.75,0,0.57142857,0,1,2,FALSE,Eip63E,4,1,0,0,0.625,FALSE,0,Eip63E,0,0
344,1.75,0,0.57142857,0,1,2,FALSE,Axn,4,1,0,0,0.625,FALSE,0,Axn,0,0
346,2.5,0,0.4,0,1,4,FALSE,stil,2,1,0,0,0.625,FALSE,0,stil,0,0
352,1,0,1,0,1,1,FALSE,mus304,1,1,0,0,1,FALSE,0,mus304,0,0
354,1,0,1,0,1,1,FALSE,Sobp,1,1,0,0,1,FALSE,0,Sobp,0,0
355,1,0,1,0,1,1,FALSE,B4,1,1,0,0,1,FALSE,0,B4,0,0
