18213	199	558
10277	327	271
4403	287	172
15006	579	122
16667	259	584
15625	247	420
15716	52	164
7946	58	150
3120	122	283
9729	531	215
16045	325	399
13850	52	375
5089	244	41
15833	369	76
9809	428	390
2830	87	547
18361	34	481
14819	183	210
13946	301	87
2832	303	408
8488	547	85
16921	131	361
12679	506	386
8555	183	271
1817	226	131
8368	465	300
6553	123	256
17519	549	41
14130	369	47
15209	172	534
8255	561	577
10349	69	414
17556	250	286
14092	61	496
18344	319	29
18275	397	57
18152	227	315
17071	293	308
10876	444	185
6294	237	365
11380	116	21
7342	112	559
7270	382	75
5189	137	449
1452	338	534
8011	201	121
16706	453	18
8291	9	326
18478	434	536
4286	313	385
14393	398	90
15338	344	109
7691	142	356
17003	497	22
8389	59	237
17316	8	275
17468	425	510
9790	562	530
962	409	398
7654	496	229
13515	338	496
16334	268	515
1923	535	540
15259	349	535
6050	526	188
8031	270	198
16548	172	112
8171	446	327
11067	406	347
10419	461	194
12586	343	227
5306	448	352
9933	333	292
17944	82	126
10411	203	38
10630	348	11
17775	476	235
10551	378	351
10220	230	143
11793	557	103
10256	11	578
11699	555	58
11228	483	264
9614	318	502
6250	485	268
16467	98	226
16473	7	8
14916	242	420
17639	314	439
13388	197	338
13428	92	444
16363	418	376
3713	346	498
15917	230	259
14842	461	161
18432	437	552
17299	514	147
18434	442	268
7388	506	289
16319	297	217
17927	13	144
2142	174	487
11458	509	330
4893	40	45
3390	188	95
3108	282	72
15959	311	45
18422	498	457
13422	166	11
18037	87	301
8753	72	388
11231	232	511
2543	400	491
17776	46	316
4461	417	197
3769	73	112
13381	45	539
18472	548	380
13784	474	111
15832	337	92
17769	543	148
15756	291	564
15739	268	98
11890	361	256
8590	433	378
17778	61	338
9375	464	208
2487	325	206
17328	557	429
18396	157	563
2445	276	44
6556	432	492
5392	472	170
7189	520	542
15749	437	21
15462	381	58
1071	29	421
16269	264	559
18057	339	134
8448	273	585
18092	354	220
18345	348	70
6650	588	201
2784	102	30
18464	6	447
14813	112	73
17442	501	117
16246	182	399
8275	211	538
13958	521	180
5343	253	271
15757	70	476
4905	37	197
15103	275	351
7917	467	153
11313	474	357
10169	289	176
15518	145	374
4858	317	347
2943	169	127
4570	81	56
16083	469	77
18145	45	473
14411	365	258
13844	107	271
17250	538	277
18359	64	259
14681	350	113
8919	392	147
7172	261	315
12148	259	194
5601	285	556
11125	295	11
10189	338	460
13433	205	431
10867	36	372
3838	400	19
8545	58	188
13029	408	51
17425	352	214
6961	87	105
10804	114	84
10198	490	513
13404	359	229
11030	134	54
7766	146	30
18353	242	340
11009	196	18
1962	45	158
1216	207	328
4167	458	252
13528	472	216
3161	226	42
8565	393	395
9615	120	319
1775	9	126
8209	357	261
18270	61	15
15110	164	189
10467	55	525
15113	450	541
11624	529	397
13968	10	431
1337	376	476
13672	70	231
18430	289	237
17255	503	362
6494	47	178
807	405	59
10775	406	499
11372	579	107
6129	188	451
8496	82	480
1524	409	381
17687	487	428
8799	377	217
15546	124	366
18335	328	259
1357	516	575
17826	99	346
13952	184	245
11975	193	268
2573	425	385
17768	339	387
1063	35	538
14781	45	157
15970	336	290
6146	213	161
12527	431	52
5810	198	334
17209	26	64
7330	129	559
17223	508	481
9010	315	107
6011	261	380
1671	179	495
14441	544	270
17833	367	505
13769	246	216
14751	367	536
8550	521	566
15766	300	426
18459	145	316
4988	167	327
8145	198	270
14348	148	403
17669	104	443
18372	185	92
794	490	295
10114	46	409
16902	437	63
15920	17	356
16763	362	62
17844	333	412
7458	463	329
14371	195	500
10317	64	373
18333	275	540
17863	512	500
7537	384	297
18166	461	567
18468	42	497
3857	290	355
10513	164	13
13645	515	291
12949	218	88
14905	455	585
9270	502	405
18096	215	249
5876	92	507
18169	154	154
7618	131	49
18457	475	432
7465	150	150
6795	278	255
14021	15	423
6949	445	576
15754	418	275
1467	245	45
14462	102	21
13668	581	77
2059	162	162
12751	82	208
16159	182	116
5244	408	303
17706	128	588
9512	46	255
15137	219	275
9453	540	438
10097	431	218
3181	199	410
1494	84	383
15139	575	424
12047	291	562
18286	571	142
18416	18	196
11592	159	64
15245	251	224
18085	526	279
16181	139	266
6660	238	454
17420	251	229
10300	464	408
9490	387	199
14680	500	427
11495	322	8
2526	328	445
12341	142	520
17086	368	70
16302	118	196
4671	234	411
15271	391	382
9391	242	78
13258	371	291
7419	455	482
14616	440	339
15670	126	123
14288	559	354
12073	339	440
11720	38	393
16193	369	187
16437	443	104
1662	226	549
11844	132	420
15455	339	207
18282	79	352
4551	244	420
7921	432	158
13685	65	475
12230	30	406
16767	362	204
5315	135	154
4895	226	495
3586	516	26
12817	408	85
6587	146	407
12940	242	491
14579	498	414
8485	433	419
2882	287	159
6407	215	134
4800	200	442
16722	228	226
16119	261	4
8401	552	498
18448	218	62
1779	409	417
9283	257	226
3585	233	544
6742	425	274
16024	215	338
17672	6	62
2593	339	516
8402	480	92
1404	49	150
14017	133	498
13289	56	109
13457	427	55
18206	333	34
8212	424	516
17902	502	357
16404	543	434
13763	587	303
1106	170	550
10807	546	77
15784	83	247
1193	230	389
8144	183	334
3721	315	14
11674	528	344
1575	511	329
8786	67	109
14429	535	30
3537	9	397
5976	553	350
16802	574	472
3850	306	20
17663	469	427
1756	503	393
16793	504	229
11479	12	18
17264	129	476
1070	163	28
7117	408	462
8360	400	241
14184	555	521
8051	354	266
13890	531	557
10367	519	327
13733	16	170
3259	238	30
2028	35	490
5464	355	442
8941	327	256
17206	312	134
16097	55	167
2217	360	257
8119	95	535
9275	75	321
15853	455	403
4070	68	135
15310	22	409
14587	566	297
6616	234	391
7411	102	462
18269	551	271
3163	449	558
17715	438	207
18227	190	363
16830	33	256
8268	354	465
7168	129	538
7137	76	109
16665	180	532
6176	496	268
4520	574	194
15578	64	83
14149	308	174
8927	362	424
14982	185	39
4737	473	355
12170	494	222
17046	289	505
5168	529	9
2631	134	340
18236	552	345
5597	515	426
17850	472	347
14597	441	584
11703	429	586
15999	330	309
17933	460	268
15859	351	48
14942	220	251
12635	119	454
9385	45	476
13776	75	5
9072	79	505
17246	78	513
15647	380	89
3839	487	112
9972	488	66
2688	299	131
6980	514	382
12265	186	226
3566	111	262
6167	58	555
14244	214	38
17667	430	330
15718	455	541
2348	197	172
11801	424	114
7724	370	568
14823	10	364
17734	544	233
7856	429	534
16386	202	303
16869	351	260
18004	64	247
6476	345	361
2733	233	117
15753	454	119
16459	243	230
17858	119	392
12120	284	538
18291	582	255
17185	375	499
17549	582	40
15911	276	413
11038	187	560
8077	293	234
6307	93	571
14160	240	49
4289	426	199
1402	506	484
14310	175	571
4720	230	439
14476	378	302
5550	144	114
15402	281	353
14122	92	559
10499	328	45
16846	483	495
16229	418	324
11185	516	497
6500	496	15
11686	160	54
17859	65	526
9281	408	448
8952	226	85
1466	272	314
14026	463	465
5712	59	348
3196	354	225
6815	382	185
5945	113	184
15652	19	194
16329	339	409
6631	237	105
10030	151	447
14539	142	273
17877	582	270
3612	213	455
16448	95	370
9169	582	18
18156	172	6
11647	95	559
18289	215	97
11914	559	396
9543	343	80
6507	474	409
3384	17	468
2512	362	287
792	581	296
16714	460	534
2460	517	475
5103	157	485
2575	172	473
9439	100	331
16672	552	321
18219	244	304
11774	156	411
10417	37	417
6533	393	477
16068	210	29
8232	409	460
5423	428	174
6342	387	527
13074	328	207
15734	537	148
1350	507	205
7901	84	39
9403	33	8
5678	53	312
15386	547	107
6694	499	77
13123	9	346
14275	317	115
3078	238	512
6967	79	497
4931	412	534
17955	558	264
15395	411	184
17370	556	544
16466	535	330
14354	336	548
18405	449	301
7394	572	576
15519	296	77
6432	457	303
18395	408	26
15898	199	324
13107	554	318
14162	241	133
17965	497	72
13912	12	181
17230	88	161
17091	393	169
13207	101	61
4585	296	38
13576	18	364
8439	293	350
16012	516	438
2253	153	422
15985	130	576
3622	282	215
18060	392	471
18180	125	109
17342	237	56
14055	318	503
6600	374	409
9145	437	98
2787	335	363
9684	462	414
13334	378	308
15063	201	426
13269	232	394
1460	234	237
16418	474	247
1972	357	151
14157	265	83
16798	571	230
17623	110	588
1155	39	198
18303	107	315
9905	460	292
16491	384	213
11569	546	425
1899	273	437
11453	184	510
18050	461	447
16503	587	488
15913	547	140
18113	227	172
18363	62	411
613	277	72
11323	460	417
2872	132	378
12071	188	477
15603	418	475
14040	338	204
17398	259	363
18225	511	129
15696	14	495
6602	437	201
13031	466	538
18393	46	374
13209	419	521
9694	121	526
11235	76	247
3988	248	7
16070	7	452
17154	380	506
13096	93	63
10761	345	354
11618	24	15
11682	350	40
15161	178	232
15699	63	211
13699	41	25
12160	443	475
16325	275	325
11258	14	69
3524	494	191
7250	534	184
4530	142	190
6545	153	180
6659	587	219
17954	305	459
13203	393	564
6239	501	73
17526	93	311
6598	533	296
5159	121	126
12572	486	234
3086	333	534
15945	520	548
16934	238	483
16120	104	33
701	219	529
3149	579	461
17353	49	545
11444	325	581
10130	417	373
13492	379	191
4848	266	461
2659	587	388
15138	236	370
14146	92	363
10947	406	30
2205	128	524
8746	346	118
7835	58	483
2322	24	134
16152	577	358
11403	145	440
14920	32	19
4161	153	78
4192	529	341
7935	340	14
12331	92	211
18479	582	440
14557	20	27
15009	408	255
12219	476	205
17691	194	250
1358	369	293
18460	355	473
18067	444	38
6652	161	461
15219	423	71
16973	555	230
5418	585	39
14900	140	40
18382	119	375
4042	420	13
5428	15	496
15824	466	588
11413	115	366
18253	476	257
8242	447	456
8459	260	13
14270	288	422
17558	142	17
18305	267	585
3072	404	61
17583	41	244
8609	378	341
16222	464	41
17701	308	58
12477	74	487
15080	404	497
