18213	199	558
15006	579	122
18361	34	481
14819	183	210
13946	301	87
8488	547	85
16921	131	361
12679	506	386
8555	183	271
1817	226	131
8368	465	300
6553	123	256
17519	549	41
14130	369	47
15209	172	534
8255	561	577
10349	69	414
17556	250	286
14092	61	496
18344	319	29
18478	434	536
4286	313	385
14393	398	90
15338	344	109
7691	142	356
17003	497	22
8389	59	237
17316	8	275
17468	425	510
9790	562	530
962	409	398
7654	496	229
13515	338	496
16334	268	515
1923	535	540
15259	349	535
6050	526	188
8031	270	198
16083	469	77
16548	172	112
8171	446	327
11067	406	347
10419	461	194
12586	343	227
5306	448	352
9933	333	292
17944	82	126
10411	203	38
10630	348	11
7439	295	113
10247	546	3
1186	201	111
17775	476	235
10551	378	351
10220	230	143
11793	557	103
10256	11	578
11699	555	58
11228	483	264
9614	318	502
6250	485	268
16467	98	226
16473	7	8
14916	242	420
17639	314	439
13388	197	338
13428	92	444
16363	418	376
3713	346	498
15917	230	259
14842	461	161
12635	119	454
9385	45	476
17246	78	513
18472	548	380
13784	474	111
15832	337	92
17769	543	148
15756	291	564
15739	268	98
11890	361	256
17778	61	338
18396	157	563
2445	276	44
6556	432	492
5392	472	170
15749	437	21
15462	381	58
18345	348	70
6650	588	201
2784	102	30
18145	45	473
14411	365	258
13844	107	271
17250	538	277
18359	64	259
17425	352	214
6961	87	105
13404	359	229
18353	242	340
11009	196	18
1962	45	158
1216	207	328
4167	458	252
13528	472	216
3161	226	42
8565	393	395
9615	120	319
18270	61	15
15110	164	189
18464	6	447
17442	501	117
16246	182	399
8275	211	538
13958	521	180
5343	253	271
15113	450	541
11624	529	397
13968	10	431
1337	376	476
13672	70	231
15757	70	476
4905	37	197
15103	275	351
7917	467	153
11313	474	357
10169	289	176
18459	145	316
4988	167	327
8145	198	270
14348	148	403
18372	185	92
794	490	295
10114	46	409
16902	437	63
15920	17	356
16763	362	62
17844	333	412
7458	463	329
14371	195	500
18333	275	540
17863	512	500
7537	384	297
18166	461	567
18468	42	497
3857	290	355
10513	164	13
13645	515	291
12949	218	88
14905	455	585
9270	502	405
18096	215	249
5876	92	507
18206	333	34
17902	502	357
16404	543	434
13763	587	303
1106	170	550
10807	546	77
15784	83	247
1193	230	389
8144	183	334
3721	315	14
11674	528	344
1575	511	329
8786	67	109
14429	535	30
5976	553	350
16802	574	472
3850	306	20
8153	240	437
14097	85	186
17663	469	427
1756	503	393
18180	125	109
17342	237	56
14055	318	503
9145	437	98
9684	462	414
13334	378	308
15063	201	426
13269	232	394
1460	234	237
16418	474	247
1972	357	151
13770	183	12
9740	305	473
14157	265	83
16798	571	230
17623	110	588
1155	39	198
18303	107	315
9905	460	292
16491	384	213
11569	546	425
18050	461	447
16503	587	488
15913	547	140
18363	62	411
613	277	72
11323	460	417
2872	132	378
12071	188	477
17398	259	363
18225	511	129
15696	14	495
6602	437	201
13031	466	538
11870	580	57
13888	218	348
5355	556	285
2384	582	224
2779	74	345
18457	475	432
7465	150	150
6795	278	255
14021	15	423
6949	445	576
15754	418	275
1467	245	45
14462	102	21
13668	581	77
2059	162	162
12751	82	208
16159	182	116
16667	259	584
15625	247	420
15716	52	164
7946	58	150
3120	122	283
9729	531	215
18432	437	552
17299	514	147
17328	557	429
18448	218	62
15518	145	374
18169	154	154
8688	357	513
11479	12	18
18219	244	304
11774	156	411
17955	558	264
15395	411	184
17370	556	544
13096	93	63
10761	345	354
11682	350	40
16519	398	321
14976	218	338
10676	226	34
4923	172	61
18479	582	440
14557	20	27
15009	408	255
12219	476	205
17691	194	250
18370	542	526
13152	364	208
18471	380	344
9292	211	92
17820	286	386
18386	402	162
9163	356	95
3072	404	61
16442	24	337
2995	206	97
18340	432	72
2475	503	487
17833	367	505
17245	559	440
14223	105	430
17694	424	548
7814	449	222
17148	89	286
15287	207	372
15662	504	281
16118	453	373
15033	262	512
4564	422	179
14868	195	156
7981	244	185
10773	514	395
17960	178	83
18254	126	79
18266	237	69
2748	453	346
12455	207	26
17795	392	108
17002	566	173
11335	337	427
16772	476	318
3793	534	293
1319	123	575
2717	207	73
11154	337	26
14498	356	150
18323	162	52
18181	209	121
11525	118	456
12128	269	398
18274	452	301
11537	313	358
18048	115	317
8281	507	410
13270	513	391
18450	532	205
18435	141	15
10298	391	342
8682	549	543
6037	98	240
1411	78	449
18463	142	583
13230	112	495
18148	376	344
2682	80	58
3655	547	511
18398	513	487
16174	211	561
15530	559	509
10506	492	475
2644	286	581
7698	167	133
15860	1	475
10898	16	151
17860	564	587
17507	530	151
8080	445	142
11330	578	295
15634	448	254
