Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
adult chitin-containing cuticle pigmentation (GO:0048085)	Feb-26	0.000125646	0.00669956	0.000784189	0.058486549	-2.195940327	19.72403606	e;osa
negative regulation of canonical Wnt signaling pathway (GO:0090090)	Feb-35	0.00022927	0.007107375	0.001371196	0.058486549	-1.830928326	15.34429529	pbl;tum
negative regulation of Wnt signaling pathway (GO:0030178)	Feb-40	0.000300005	0.008266814	0.001765197	0.058486549	-1.830708559	14.85017743	pbl;tum
axon development (GO:0061564)	Feb-66	0.000817188	0.012300544	0.004568802	0.068494144	-2.039697905	14.5015204	Rab5;ben
imaginal disc-derived wing vein morphogenesis (GO:0008586)	Feb-49	0.000450826	0.01016407	0.002594161	0.058486549	-1.70153171	13.10933165	Su(H);osa
imaginal disc-derived wing morphogenesis (GO:0007476)	4/240	1.32808E-05	0.003293635	0.000363167	0.058486549	-1.151101483	12.92593996	Su(H);cos;osa;alph
regulation of JNK cascade (GO:0046328)	Feb-49	0.000450826	0.01016407	0.002594161	0.058486549	-1.625629648	12.52454953	ben;alph
imaginal disc-derived wing margin morphogenesis (GO:0008587)	Feb-54	0.000547577	0.010446076	0.003120129	0.05952247	-1.664846364	12.50300993	pot;osa
cytoskeleton-dependent cytokinesis (GO:0061640)	Feb-69	0.000892781	0.012300544	0.004971349	0.068494144	-1.77289498	12.44779486	pbl;tum
wing disc dorsal/ventral pattern formation (GO:0048190)	Feb-52	0.00050777	0.010446076	0.002904193	0.05952247	-1.57598034	11.95456993	Su(H);osa
"dorsal/ventral pattern formation, imaginal disc (GO:0007450)"	Feb-57	0.000610043	0.010806476	0.003457809	0.061252618	-1.556384628	11.52032955	Su(H);osa
mitotic cytokinesis (GO:0000281)	Feb-65	0.000792715	0.012300544	0.004438173	0.068494144	-1.59341185	11.37703448	pbl;tum
regulation of canonical Wnt signaling pathway (GO:0060828)	Feb-68	0.000867222	0.012300544	0.004835394	0.068494144	-1.534848749	10.82101535	pbl;tum
neuron projection morphogenesis (GO:0048812)	3/180	0.000191873	0.006797776	0.002314019	0.058486549	-1.146916062	9.816085668	Rab5;ben;tum
post-embryonic appendage morphogenesis (GO:0035120)	3/161	0.000138011	0.00669956	0.001689774	0.058486549	-1.02508554	9.111142026	cos;osa;alph
Ras protein signal transduction (GO:0007265)	Feb-85	0.001350636	0.01674789	0.007383562	0.080987788	-1.377638906	9.102307479	Rab5;tum
wing disc pattern formation (GO:0035222)	Feb-76	0.001081802	0.014120359	0.00597221	0.077953054	-1.332293244	9.098400243	Su(H);osa
cell morphogenesis involved in neuron differentiation (GO:0048667)	3/160	0.00013549	0.00669956	0.001660295	0.058486549	-0.970407593	8.643042587	Rab5;ben;tum
wing disc morphogenesis (GO:0007472)	3/134	8.00772E-05	0.00669956	0.001004566	0.058486549	-0.913383962	8.615511528	cos;osa;alph
positive regulation of nucleic acid-templated transcription (GO:1903508)	2/135	0.003359866	0.03146353	0.017626827	0.080987788	-1.41191714	8.042073976	Su(H);osa
imaginal disc-derived appendage morphogenesis (GO:0035114)	3/170	0.000162086	0.00669956	0.001970075	0.058486549	-0.902838556	7.879417617	cos;osa;alph
dorsal closure (GO:0007391)	2/107	0.002128278	0.025133953	0.011403283	0.080987788	-1.12459482	6.919004321	Rab5;alph
dendrite morphogenesis (GO:0048813)	2/141	0.003658272	0.03146353	0.019113493	0.080987788	-1.163264016	6.526800191	Rab5;tum
cellular protein localization (GO:0034613)	2/164	0.00491249	0.03146353	0.025286012	0.080987788	-1.188769228	6.319466658	Rab5;tum
intracellular protein transport (GO:0006886)	2/173	0.005450212	0.03146353	0.027898376	0.080987788	-1.070430153	5.579189873	Rab5;mbo
positive regulation of gene expression (GO:0010628)	2/204	0.007499556	0.031637434	0.037693101	0.081999028	-1.129545366	5.526765417	Su(H);osa
axonogenesis (GO:0007409)	2/212	0.008077107	0.031637434	0.040411603	0.082827088	-0.999499102	4.816307881	Rab5;ben
"positive regulation of transcription, DNA-templated (GO:0045893)"	2/379	0.024335657	0.039855588	0.111538661	0.141130551	-0.803574599	2.985932666	Su(H);osa
