Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
female somatic sex determination (GO:0019101)	02-Jul	5.76663E-06	0.000315242	4.15018E-05	0.002268763	-3.276645469	39.52755925	her;ix
imaginal disc-derived genitalia morphogenesis (GO:0048805)	Feb-20	5.19711E-05	0.002130817	0.000264261	0.01083469	-2.476874724	24.4339283	Rab5;ix
"regulation of transcription, DNA-templated (GO:0006355)"	6/623	3.60645E-07	3.15833E-05	1.71345E-05	0.001498226	-1.047207179	15.53570727	fd59A;Bap60;her;E2f2;hkb;ix
regulation of transcription from RNA polymerase II promoter (GO:0006357)	6/630	3.85163E-07	3.15833E-05	1.8271E-05	0.001498226	-1.040632428	15.36972501	fd59A;Bap60;her;E2f2;hkb;ix
negative regulation of cellular process (GO:0048523)	Feb-91	0.001096503	0.029971084	0.004692305	0.076552723	-1.667631615	11.36595872	Rab5;ix
ventral cord development (GO:0007419)	Feb-83	0.000913399	0.029959481	0.00393436	0.076552723	-1.325527381	9.276488605	neur;hkb
central nervous system development (GO:0007417)	2/170	0.003756356	0.030765469	0.015391357	0.076552723	-1.229530797	6.866076077	neur;hkb
imaginal disc development (GO:0007444)	2/140	0.00256734	0.030765469	0.010665863	0.076552723	-1.100653944	6.565274303	Rab5;E2f2
negative regulation of transcription from RNA polymerase II promoter (GO:0000122)	2/192	0.004763202	0.030765469	0.019339074	0.078124423	-1.164728399	6.227610853	E2f2;hkb
compound eye development (GO:0048749)	2/198	0.005057244	0.030765469	0.020483842	0.078124423	-1.120636051	5.92472831	nmo;neur
post-embryonic appendage morphogenesis (GO:0035120)	2/161	0.003377146	0.030765469	0.013892367	0.076552723	-1.019774794	5.803257319	nmo;neur
eye development (GO:0001654)	2/140	0.00256734	0.030765469	0.010665863	0.076552723	-0.942533112	5.622101709	nmo;neur
wing disc morphogenesis (GO:0007472)	2/134	0.002355477	0.030765469	0.0098154	0.076552723	-0.908948186	5.500056541	nmo;neur
oogenesis (GO:0048477)	2/216	0.005988655	0.030765469	0.024087895	0.07931134	-1.0741378	5.497317495	Rab5;E2f2
imaginal disc-derived wing morphogenesis (GO:0007476)	2/240	0.007343769	0.030809826	0.029276468	0.07931134	-1.079785177	5.305959757	nmo;neur
nervous system development (GO:0007399)	2/246	0.007702456	0.030809826	0.030639767	0.07931134	-1.034978772	5.036430239	neur;hkb
female gamete generation (GO:0007292)	2/208	0.005565615	0.030765469	0.022455004	0.07931134	-0.969329426	5.03193231	Rab5;E2f2
imaginal disc-derived appendage morphogenesis (GO:0035114)	2/170	0.003756356	0.030765469	0.015391357	0.076552723	-0.89756684	5.012287797	nmo;neur
"negative regulation of transcription, DNA-templated (GO:0045892)"	2/279	0.009814708	0.033533585	0.038590181	0.07931134	-0.980624728	4.534284427	E2f2;hkb
"positive regulation of transcription, DNA-templated (GO:0045893)"	2/379	0.017592665	0.037163136	0.066906242	0.099751124	-0.905130891	3.656976096	Bap60;her
regulation of gene expression (GO:0010468)	2/458	0.025101086	0.04068905	0.093085654	0.123339313	-0.863906121	3.183359414	nmo;Bap60
