Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,14,0.5495,50.00,13.00,NaN,2.04116e-05,"tld l(2)efl xl6 CtBP Su(var)2-10 CycB neur l(3)mbt dom dpld Rpd3 kuk Pcaf sina"
2,11,0.6364,35.00,12.00,NaN,0.000381342,"Su(H) Pde8 cos pbl sec23 osa wee mbo alph tum pot"
3,10,0.6000,27.00,22.00,NaN,0.0107492,"thr alien CG16719 CycE Borr asf1 spn-A dmt Caf1 E(z)"
