Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,3,0.6667,2.000,0.000,NaN,0.0296732,"trio kay Syx1A"
2,3,0.6667,2.000,0.000,NaN,0.0296732,"rdo spir ken"
