Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,9,0.6111,22,8,0.733,0.00104837,sec23 cos Su(H) pot tum alph Pde8 mbo osa
2,6,0.6667,10,16,0.385,0.182799,Borr rdo dmt CG16719 thr asf1
