18213	408	3
15006	487	3
16667	159	6
18478	138	79
4286	208	79
14393	254	79
15338	404	79
7691	448	79
17003	464	79
8389	480	79
17316	497	79
17468	448	80
9790	464	80
7654	54	81
13515	139	81
16334	550	81
1923	2	82
15259	22	82
6050	25	82
8031	80	82
16083	138	82
16548	208	82
8171	254	82
11067	404	82
10419	448	82
12586	464	82
5306	480	82
9933	497	82
17944	26	83
10411	42	83
10630	64	83
7439	178	83
10247	247	83
17775	410	83
11793	473	83
10256	507	83
11699	516	83
11228	527	83
9614	575	83
6250	584	83
16467	116	84
16473	226	84
14916	549	84
17639	104	90
13388	357	90
13428	136	91
16363	340	92
3713	393	92
15917	415	92
14842	490	92
12635	532	92
9385	112	93
17246	452	93
18432	68	114
17299	135	114
18472	52	141
13784	141	141
15832	95	142
17769	119	146
15756	368	146
15739	180	147
11890	270	147
17778	392	147
17328	130	150
18396	494	153
2445	52	154
6556	154	154
5392	38	155
15749	184	155
18345	527	178
6650	575	178
2784	584	178
18145	234	183
17250	426	183
15625	412	6
15716	417	6
7946	460	6
18361	337	15
14819	339	15
13946	372	15
17519	190	18
14130	326	18
15209	364	18
17556	428	19
14092	563	19
18344	549	29
8488	438	15
14920	172	6
4161	197	6
15971	536	5
13152	65	1
18471	395	48
18386	416	63
9163	15	64
3072	42	64
2995	55	1
18340	157	9
18254	402	8
18266	2	9
2748	90	9
12455	105	9
17795	118	9
15287	7	1
2682	214	1
15662	215	1
17833	191	9
17002	222	9
11335	326	9
16772	456	9
3793	467	9
1319	494	9
2717	547	9
14498	154	10
18323	405	27
18181	233	28
18450	528	63
18435	146	71
10298	306	71
18274	402	30
18048	512	30
8281	55	31
13270	173	31
8682	402	71
6037	406	71
16118	401	1
15033	444	1
4564	530	1
14868	531	1
7981	9	2
10773	274	2
11154	97	10
11525	165	29
12128	319	29
18463	431	93
