Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
poly(A)-specific ribonuclease activity (GO:0004535)	2/8	0.014276997184917490646416382560346391983330249786376953125	0.04747931621960932435655422523268498480319976806640625	0.070264129523118945552795366893406026065349578857421875	0.260981052514441813627854571677744388580322265625	-3.4531410425987854	14.672761029237353	Pop2;Not1
ubiquitin protein ligase binding (GO:0031625)	7/44	0.000072076596498305846826004650296226827776990830898284912109375	0.000644184581203608472126098671850513710523955523967742919921875	0.00694534990330062697305724128682413720525801181793212890625	0.06849551973599928011982029829596285708248615264892578125	-1.5106353409584699	14.408109300924727	eff;Tak1;rdx;pnut;ben;pyd;p53
mitogen-activated protein kinase kinase binding (GO:0031434)	4/23	0.00192871520042023326078906020342174088000319898128509521484375	0.01081593230039581791934732990512202377431094646453857421875	0.03013581721692602799489435483337729237973690032958984375	0.1873661679139313751552009534862008877098560333251953125	-2.241129443218971	14.009078719261982	Alk;btl;Pvr;drl
heparan sulfate sulfotransferase activity (GO:0034483)	2/7	0.01087721028489541282013863821021004696376621723175048828125	0.037937587091220588420004133922702749259769916534423828125	0.057873381645546138896119003902640542946755886077880859375	0.2364541021518028196535254892296507023274898529052734375	-3.0134756987501388	13.624181220138173	Hs2st;Hs6st
ATPase activity, coupled (GO:0042623)	12/107	0.000008829644969766987583283286700197578511506435461342334747314453125	0.0000935288319019762369628534504073513744515366852283477783203125	0.0064514148029065458700426205496114562265574932098388671875	0.06589659405825971927317397103252005763351917266845703125	-1.1500084637409798	13.383103610049137	E(bx);kis;Dhc64C;Mhc;Ddx1;Myo61F;Lis-1;jar;up;brm;Myo31DF;Iswi
ubiquitin-like protein ligase binding (GO:0044389)	7/45	0.000083629412099013261216833015065930112541536800563335418701171875	0.0007034709370681703315131283460459599155001342296600341796875	0.007728482731754163399806589751506180618889629840850830078125	0.07367820204272303163950397220105514861643314361572265625	-1.4016868083352876	13.160599030449816	eff;Tak1;rdx;pnut;ben;pyd;p53
glutamate receptor binding (GO:0035254)	2/6	0.00789264687053023959728559333370867534540593624114990234375	0.0309218767804335381566005480635794810950756072998046875	0.0463489606320997837851649592266767285764217376708984375	0.2321682717411301111187782453271211124956607818603515625	-2.6898410530993058	13.023736237683371	scrib;dlg1
kinase activity (GO:0016301)	15/149	0.00000268298892877162038092205866013362225430682883597910404205322265625	0.0000333623840708123208247289082084563460739445872604846954345703125	0.0061533073000642722616415625225272378884255886077880859375	0.065179477326606727327629187129787169396877288818359375	-0.9757532582255769	12.517527867880688	Pink1;grp;LIMK1;lic;Pi3K92E;ksr;sax;SelD;nmo;hep;Pkn;Tak1;CycB;mbt;CG4945
poly(A) binding (GO:0008143)	2/9	0.0180707341243906659256079905162550858221948146820068359375	0.056793735819513517515400025104099768213927745819091796875	0.0834217589562480099640850994546781294047832489013671875	0.290958817823011361980434230645187199115753173828125	-3.059252916496966	12.278193947520235	Sxl;Ddx1
SH2 domain binding (GO:0042169)	2/8	0.014276997184917490646416382560346391983330249786376953125	0.04747931621960932435655422523268498480319976806640625	0.070264129523118945552795366893406026065349578857421875	0.260981052514441813627854571677744388580322265625	-2.8007523558784904	11.900692590578714	chico;dos
